形成日,实际执行日,三状态,state_strength,risk_strength,state_phase,fast_engine,slow_engine,direction_score,direction_score_continuous,direction_score_band,risk_high_count,-1转0_score,-1转0_冻结阈值,-1转0_距阈值,+1转0_score,+1转0_冻结阈值,+1转0_距阈值,0转-1_score,0转-1_冻结阈值,0转-1_距阈值,0转-1_释放阈值,0转-1_距释放阈值,0转-1_事件信号,0转+1_score,0转+1_冻结阈值,0转+1_距阈值,0转+1_释放阈值,0转+1_距释放阈值,0转+1_事件信号,大涨_score,大涨_冻结阈值,大涨_距阈值,大涨_预测,大跌_score,大跌_冻结阈值,大跌_距阈值,大跌_预测
2024-05-16,2024-05-17,0,0.0,0.6805555555555556,entry,0.5029761904761905,0.5119047619047619,0.4532638888888889,0.5260912698412699,0.2833333333333333,1.0,0.358458332180033,0.815842643776842,-0.45738431159680903,0.440750993727834,0.4920211306764882,-0.05127013694865423,0.2120645438957217,1.2294466376933055,-1.017382093797584,0.6645986031220402,-0.4525340592263185,0,4.765700483091788,4.671980676328502,0.09371980676328562,4.606280193236715,0.15942028985507317,1,0.4721667947826415,0.8135114753699175,-0.341344680587276,0,0.5228697874168524,0.6832148298881413,-0.1603450424712889,0
2024-05-17,2024-05-20,0,0.30753968253968256,0.6865079365079365,continuation,0.5496031746031746,0.5922619047619048,0.5419444444444446,0.5956349206349207,0.4166666666666667,1.0,0.4520835916194383,0.815842643776842,-0.36375905215740373,0.4773002381111467,0.4920211306764882,-0.014720892565341537,-1.1797535780251922,1.2294466376933055,-2.4092002157184975,0.6645986031220402,-1.8443521811472325,0,-4.644927536231884,4.671980676328502,-9.316908212560385,4.606280193236715,-9.251207729468598,0,0.3044256885469849,0.8135114753699175,-0.5090857868229326,0,0.5934764818844294,0.6832148298881413,-0.08973834800371194,0
2024-05-20,2024-05-21,0,0.46060090702947853,0.7797619047619048,continuation,0.6448412698412698,0.7281746031746033,0.6755555555555555,0.7115079365079365,0.5916666666666666,1.0,0.6297647688568908,0.815842643776842,-0.1860778749199512,0.4624988469117936,0.4920211306764882,-0.029522283764694623,-1.4719475395363455,1.2294466376933055,-2.701394177229651,0.6645986031220402,-2.1365461426583856,0,4.659420289855072,4.671980676328502,-0.01256038647342983,4.606280193236715,0.053140096618357724,0,0.3663661261326417,0.8135114753699175,-0.44714534923727584,0,0.5798060292326006,0.6832148298881413,-0.1034088006555407,0
2024-05-21,2024-05-22,0,-0.16666666666666666,0.7976190476190477,continuation,0.4801587301587301,0.4652777777777778,0.4290277777777778,0.491468253968254,0.2833333333333333,1.0,0.7855014918397839,0.815842643776842,-0.03034115193705811,0.4626851705753966,0.4920211306764882,-0.02933596010109163,-1.3601330821741415,1.2294466376933055,-2.589579719867447,0.6645986031220402,-2.0247316852961816,0,4.722222222222222,4.671980676328502,0.05024154589372021,4.606280193236715,0.11594202898550776,0,0.4102661435627371,0.8135114753699175,-0.4032453318071804,0,0.5150762312555135,0.6832148298881413,-0.1681385986326278,0
2024-05-22,2024-05-23,0,0.30895691609977327,0.8154761904761905,continuation,0.4484126984126984,0.5396825396825398,0.45111111111111113,0.523015873015873,0.2833333333333333,1.0,0.8991608103123054,0.815842643776842,0.08331816653546342,0.4520291445359696,0.4920211306764882,-0.03999198614051863,-0.7238777056017691,1.2294466376933055,-1.9533243432950746,0.6645986031220402,-1.3884763087238094,0,-4.799516908212561,4.671980676328502,-9.471497584541062,4.606280193236715,-9.405797101449275,0,0.3175668714249845,0.8135114753699175,-0.495944603944933,0,0.5223840473075317,0.6832148298881413,-0.16083078258060957,0
2024-05-23,2024-05-24,0,-0.27602040816326523,0.8174603174603174,continuation,0.24603174603174605,0.35912698412698413,0.2544444444444445,0.3313492063492064,0.075,1.0,1.1073787114098397,0.815842643776842,0.29153606763299766,0.3852874707796728,0.4920211306764882,-0.10673365989681544,0.2934358592581546,1.2294466376933055,-0.936010778435151,0.6645986031220402,-0.37116274386388565,0,-4.620772946859903,4.671980676328502,-9.292753623188405,4.606280193236715,-9.227053140096618,0,0.773947953414638,0.8135114753699175,-0.03956352195527957,0,0.4578836384969083,0.6832148298881413,-0.22533119139123303,0
2024-05-24,2024-05-27,0,-0.17876984126984127,0.7748015873015873,continuation,0.17261904761904762,0.373015873015873,0.21638888888888885,0.3091269841269841,0.0,1.0,1.318599617767143,0.815842643776842,0.5027569739903011,0.3574117869697247,0.4920211306764882,-0.13460934370676353,-0.9405831729690242,1.2294466376933055,-2.1700298106623297,0.6645986031220402,-1.6051817760910643,0,-4.756038647342995,4.671980676328502,-9.428019323671498,4.606280193236715,-9.36231884057971,0,0.5734351805269848,0.8135114753699175,-0.2400762948429327,0,0.5567268087691558,0.6832148298881413,-0.1264880211189855,0
2024-05-27,2024-05-28,0,0.19880952380952377,0.7956349206349207,continuation,0.3273809523809524,0.3660714285714286,0.27833333333333327,0.3494047619047619,0.11249999999999999,1.0,1.5055401204173922,0.815842643776842,0.6896974766405501,0.3689681787827697,0.4920211306764882,-0.12305295189371851,-0.053924251724644,1.2294466376933055,-1.2833708894179496,0.6645986031220402,-0.7185228548466842,0,4.814009661835748,4.671980676328502,0.1420289855072463,4.606280193236715,0.20772946859903385,0,0.3254498806680523,0.8135114753699175,-0.4880615947018652,0,0.5657608521167724,0.6832148298881413,-0.1174539777713689,0
2024-05-28,2024-05-29,0,-0.17318594104308385,0.7738095238095237,continuation,0.31845238095238093,0.310515873015873,0.23548611111111112,0.30426587301587305,0.075,1.0,1.6581022375595125,0.815842643776842,0.8422595937826705,0.3700948927437317,0.4920211306764882,-0.12192623793275653,-0.5194740624515917,1.2294466376933055,-1.7489207001448972,0.6645986031220402,-1.1840726655736318,0,-4.673913043478261,4.671980676328502,-9.345893719806764,4.606280193236715,-9.280193236714975,0,0.4830740577083294,0.8135114753699175,-0.33043741766158813,0,0.523952390702557,0.6832148298881413,-0.15926243918558436,0
2024-05-29,2024-05-30,0,-0.3821924603174603,0.7440476190476191,pending_switch,0.2648809523809524,0.19940476190476192,0.16493055555555555,0.2195436507936508,0.0375,1.0,1.7617946961166415,0.815842643776842,0.9459520523397995,0.3706380674081577,0.4920211306764882,-0.12138306326833054,1.1749051158120247,1.2294466376933055,-0.05454152188128081,0.6645986031220402,0.5103065126899845,0,4.601449275362318,4.671980676328502,-0.07053140096618371,4.606280193236715,-0.004830917874396157,0,0.4065524436346676,0.8135114753699175,-0.40695903173524994,0,0.6056507845297696,0.6832148298881413,-0.07756404535837169,0
