老师区间,实际执行日,推定形成日,原始状态,调整后三状态,调整原因,+1反转,-1反转,0转-1,0转+1,原始策略日收益,调整策略日收益,指数日收益,局部原始三状态_NAV,局部加入四反转_NAV,局部普通指数_NAV
红色区间1,2024-01-03,2024-01-02,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0005837214605896,1.0195045510490863,1.0196839167508818,0.97605921608922
红色区间1,2024-01-04,2024-01-03,0,1,0转+1持有,0,0,0,1,-0.0,-0.0089098846466121,-0.0089098846466121,1.0195045510490863,1.0107740321042695,0.9671493314426078
红色区间1,2024-01-05,2024-01-04,0,1,0转+1持有,0,0,0,1,-0.0,-0.0147442917692141,-0.0147442917692141,1.0195045510490863,0.9960297403350555,0.9524050396733937
红色区间1,2024-01-08,2024-01-05,0,1,0转+1持有,0,0,0,1,-0.0,-0.0174861256634789,-0.0174861256634789,1.0195045510490863,0.9785436146715767,0.9349189140099148
红色区间1,2024-01-09,2024-01-08,0,1,0转+1持有,0,0,0,1,-0.0,-0.0016191687008991,-0.0016191687008991,1.0195045510490863,0.9769244459706775,0.9332997453090157
红色区间1,2024-01-10,2024-01-09,0,1,0转+1持有,0,0,0,1,-0.0,-0.002974786675756,-0.002974786675756,1.0195045510490863,0.9739496592949215,0.9303249586332597
红色区间1,2024-01-11,2024-01-10,0,0,基础0,0,0,0,0,0.0,0.0,0.0117958783539733,1.0195045510490863,0.9739496592949215,0.942120836987233
红色区间1,2024-01-12,2024-01-11,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0045285029608667,1.0195045510490863,0.9739496592949215,0.9375923340263663
红色区间1,2024-01-15,2024-01-12,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0002232765720365,1.0195045510490863,0.9739496592949215,0.9373690574543299
红色区间2,2024-04-15,2024-04-12,0,0,基础0,0,0,0,0,0.0,0.0,0.0074115165886263,1.0,1.0,1.0074115165886264
红色区间2,2024-04-16,2024-04-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0184309752659607,1.0,1.0,0.9889805413226656
红色区间2,2024-04-17,2024-04-16,0,0,基础0,0,0,0,0,0.0,0.0,0.0204461556487633,1.0,1.0,1.009426696971429
红色区间2,2024-04-18,2024-04-17,0,0,基础0,0,0,0,0,0.0,0.0,0.0008575352966544,1.0,1.0,1.0102842322680834
红色区间2,2024-04-19,2024-04-18,0,1,0转+1持有,0,0,0,1,-0.0,-0.0061912774463832,-0.0061912774463832,1.0,0.9938087225536169,1.0040929548217001
红色区间2,2024-04-22,2024-04-19,0,1,0转+1持有,0,0,0,1,-0.0,-0.005981880840849,-0.005981880840849,1.0,0.9878268417127678,0.9981110739808511
红色区间2,2024-04-23,2024-04-22,0,1,0转+1持有,0,0,0,1,-0.0,-0.0090500223859333,-0.0090500223859333,1.0,0.9787768193268345,0.9890610515949178
红色区间2,2024-04-24,2024-04-23,0,1,0转+1持有,0,0,0,1,0.0,0.0058152658780841,0.0058152658780841,1.0,0.9845920852049186,0.9948763174730019
红色区间2,2024-04-25,2024-04-24,0,0,零段同日冲突置0,0,0,1,1,0.0,0.0,0.0034162890025928,1.0,0.9845920852049186,0.9982926064755947
红色区间2,2024-04-26,2024-04-25,0,0,零段同日冲突置0,0,0,1,1,0.0,0.0,0.0214566842171133,1.0,0.9845920852049186,1.019749290692708
红色区间2,2024-04-29,2024-04-26,0,1,0转+1持有,0,0,0,1,0.0,0.0186094677101009,0.0186094677101009,1.0,1.0032015529150196,1.038358758402809
红色区间2,2024-04-30,2024-04-29,0,1,0转+1持有,0,0,0,1,0.0,0.0049855171682184,0.0049855171682184,1.0,1.0081870700832378,1.0433442755710274
红色区间2,2024-05-06,2024-04-30,1,1,基础+1,0,0,0,0,0.0061615247454906,0.0061615247454906,0.0061615247454906,1.0061615247454907,1.0143485948287285,1.0495058003165179
红色区间2,2024-05-07,2024-05-06,1,1,基础+1,0,0,0,0,-0.0028695540733975,-0.0028695540733975,-0.0028695540733975,1.003291970672093,1.011479040755331,1.0466362462431205
红色区间2,2024-05-08,2024-05-07,1,1,基础+1,0,0,0,0,-0.0099860821666087,-0.0099860821666087,-0.0099860821666087,0.9933058885054844,1.0014929585887222,1.0366501640765118
红色区间2,2024-05-09,2024-05-08,1,1,基础+1,0,0,0,0,0.0184630018896394,0.0184630018896394,0.0184630018896394,1.0117688903951239,1.0199559604783617,1.055113165966151
红色区间2,2024-05-10,2024-05-09,1,0,+1退出到0,1,0,0,0,-0.0106189229568459,-0.0,-0.0106189229568459,1.001149967438278,1.0199559604783617,1.0444942430093052
红色区间2,2024-05-13,2024-05-10,1,0,+1退出到0,1,0,0,0,0.0009699391724191,0.0,0.0009699391724191,1.002119906610697,1.0199559604783617,1.0454641821817243
红色区间2,2024-05-14,2024-05-13,1,1,基础+1,0,0,0,0,-0.0023435198287407,-0.0023435198287407,-0.0023435198287407,0.9997763867819563,1.017612440649621,1.0431206623529836
红色区间2,2024-05-15,2024-05-14,1,1,基础+1,0,0,0,0,-0.0062685910405698,-0.0062685910405698,-0.0062685910405698,0.9935077957413865,1.0113438496090512,1.0368520713124139
红色区间2,2024-05-16,2024-05-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0077731849163127,0.9935077957413865,1.0113438496090512,1.0290788863961011
红色区间2,2024-05-17,2024-05-16,0,1,0转+1持有,0,0,0,1,0.0,0.0144192357608872,0.0144192357608872,0.9935077957413865,1.0257630853699384,1.0434981221569883
红色区间2,2024-05-20,2024-05-17,0,1,0转+1持有,0,0,0,1,0.0,0.0026730871892077,0.0026730871892077,0.9935077957413865,1.028436172559146,1.0461712093461961
红色区间2,2024-05-21,2024-05-20,0,1,0转+1持有,0,0,0,1,-0.0,-0.0071621366282524,-0.0071621366282524,0.9935077957413865,1.0212740359308936,1.0390090727179435
红色区间2,2024-05-22,2024-05-21,0,1,0转+1持有,0,0,0,1,-0.0,-0.0042159098472374,-0.0042159098472374,0.9935077957413865,1.0170581260836562,1.034793162870706
红色区间2,2024-05-23,2024-05-22,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0184311617435044,0.9935077957413865,1.0170581260836562,1.0163620011272019
红色区间2,2024-05-24,2024-05-23,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.004236544383389,0.9935077957413865,1.0170581260836562,1.0121254567438127
红色区间2,2024-05-27,2024-05-24,0,0,基础0,0,0,0,0,0.0,0.0,0.0070372230480058,0.9935077957413865,1.0170581260836562,1.0191626797918185
红色区间2,2024-05-28,2024-05-27,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0102057863305073,0.9935077957413865,1.0170581260836562,1.0089568934613113
红色区间2,2024-05-29,2024-05-28,0,0,基础0,0,0,0,0,0.0,0.0,0.0014703142621783,0.9935077957413865,1.0170581260836562,1.0104272077234897
红色区间2,2024-05-30,2024-05-29,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0010677341462544,0.9935077957413865,1.0170581260836562,1.0093594735772353
