date,close,score,predicted,actual_extreme,correct,direction_correct,o2o_bp,signed_o2o_bp,phase
2025-04-24,5605.8796,0.5026205183751515,0,0,0,0,20.08839721405753,20.08839721405753,test
2025-04-25,5627.1804,0.4829691796363985,0,0,0,0,-72.35950480623976,-72.35950480623976,test
2025-04-28,5598.2951,0.3987753886775124,0,0,0,0,37.49311435572666,37.49311435572666,test
2025-04-29,5604.9057,0.41050399664266296,0,0,0,0,114.58781119696893,114.58781119696893,test
2025-04-30,5631.8249,0.4057639260231442,0,1,0,0,241.28203752270983,241.28203752270983,test
2025-05-06,5740.3338,0.3869560420320125,0,0,0,0,-127.35907880177533,-127.35907880177533,test
2025-05-07,5750.2911,0.6145655976775681,0,0,0,0,67.56319054694204,67.56319054694204,test
2025-05-08,5773.8056,0.44427811115628835,0,0,0,0,-32.933011532393365,-32.933011532393365,test
2025-05-09,5721.7225,0.5216584780837697,0,0,0,0,150.56567078572948,150.56567078572948,test
2025-05-12,5793.6743,0.3984822297823559,0,0,0,0,-102.69724186777185,-102.69724186777185,test
2025-05-13,5781.6683,0.5007013470997069,0,0,0,0,15.064175912717914,15.064175912717914,test
2025-05-14,5799.1191,0.5464818856186578,0,0,0,0,-143.51306363934557,-143.51306363934557,test
2025-05-15,5715.2966,0.626603682197016,0,0,0,0,27.530554800982987,27.530554800982987,test
2025-05-16,5715.8491,0.3909396710592156,0,0,0,0,7.111537757529263,7.111537757529263,test
2025-05-19,5720.7949,0.4343553563917182,0,0,0,0,31.768991922869194,31.768991922869194,test
2025-05-20,5747.367,0.4239396887654367,0,0,0,0,-4.349939917500656,-4.349939917500656,test
2025-05-21,5757.9225,0.398035397934074,0,0,0,0,-73.27635677705003,-73.27635677705003,test
2025-05-22,5703.2797,0.4753611117871923,0,0,0,0,-77.10874105484766,-77.10874105484766,test
2025-05-23,5653.0436,0.673368807331564,0,0,0,0,23.166322446077636,23.166322446077636,test
2025-05-26,5669.4609,0.4352247886348899,0,0,0,0,-25.46140007663178,-25.46140007663178,test
2025-05-27,5652.1454,0.42169614408680167,0,0,0,0,-26.207583659619836,-26.207583659619836,test
2025-05-28,5637.2378,0.41631515863341245,0,0,0,0,120.11165459149709,120.11165459149709,test
2025-05-29,5719.9101,0.43907522572352553,0,0,0,0,-89.56766187459664,-89.56766187459664,test
2025-05-30,5671.0723,0.4260441543414436,0,0,0,0,75.87012390366299,75.87012390366299,test
2025-06-03,5694.8385,0.4820052822225344,0,0,0,0,78.04802932965372,78.04802932965372,test
2025-06-04,5739.0058,0.44511958588604367,0,0,0,0,47.672806018181916,47.672806018181916,test
2025-06-05,5769.9675,0.4691819875579783,0,0,0,0,7.5936149283983845,7.5936149283983845,test
2025-06-06,5762.0778,0.4168898743728273,0,0,0,0,64.17896599960171,64.17896599960171,test
2025-06-09,5805.6543,0.4775121943840942,0,0,0,0,-88.29796226508147,-88.29796226508147,test
2025-06-10,5757.9921,0.740348597343024,0,0,0,0,38.96533501691168,38.96533501691168,test
2025-06-11,5792.9464,0.5053236895238358,0,0,0,0,3.786563735790338,3.786563735790338,test
2025-06-12,5799.9319,0.4204346780320491,0,0,0,0,-100.55599399359072,-100.55599399359072,test
2025-06-13,5740.2397,0.6838384022067322,0,0,0,0,82.60799308940081,82.60799308940081,test
2025-06-16,5767.8083,0.4481395123677681,0,0,0,0,-55.680443275951674,-55.680443275951674,test
2025-06-17,5750.9122,0.424776706283687,0,0,0,0,-11.060327354192045,-11.060327354192045,test
2025-06-18,5745.8714,0.4263454314503739,0,0,0,0,-112.86864426614417,-112.86864426614417,test
2025-06-19,5676.8317,0.5516497541898571,0,0,0,0,-98.44401661564861,-98.44401661564861,test
2025-06-20,5639.513,0.34124803482858523,0,0,0,0,125.02651523984775,125.02651523984775,test
2025-06-23,5674.1704,0.3490353756516769,0,1,0,0,165.8816346134917,165.8816346134917,test
2025-06-24,5765.8373,0.2955667337678186,0,0,0,0,156.7256292788799,156.7256292788799,test
2025-06-25,5862.5529,0.3170699635585656,0,0,0,0,-30.447017261785447,-30.447017261785447,test
2025-06-26,5838.2454,0.3620638738797237,0,0,0,0,46.5771274197313,46.5771274197313,test
2025-06-27,5863.7282,0.49124128480292595,0,0,0,0,64.87174145803465,64.87174145803465,test
2025-06-30,5915.3876,0.33065342116550234,0,0,0,0,11.387124486184064,11.387124486184064,test
2025-07-01,5934.67,0.3259795119889666,0,0,0,0,-44.40729297140899,-44.40729297140899,test
2025-07-02,5892.9505,0.36021676074519926,0,0,0,0,36.48545328113428,36.48545328113428,test
2025-07-03,5922.66,0.3360894351903166,0,0,0,0,-27.630757823112752,-27.630757823112752,test
2025-07-04,5911.4352,0.5374299911825845,0,0,0,0,2.8805020529198977,2.8805020529198977,test
2025-07-07,5900.4056,0.3213303884449224,0,0,0,0,131.3604337868668,131.3604337868668,test
2025-07-08,5977.7437,0.33041139853517426,0,0,0,0,-49.62575023888305,-49.62575023888305,test
2025-07-09,5953.4871,0.39279633698264954,0,0,0,0,58.57519897988883,58.57519897988883,test
2025-07-10,5983.0505,0.41066942157688313,0,0,0,0,79.11125212577419,79.11125212577419,test
2025-07-11,6027.0789,0.592114006410499,0,0,0,0,-24.117968204552255,-24.117968204552255,test
2025-07-14,6020.8585,0.3261149613026642,0,0,0,0,1.576937625344943,1.576937625344943,test
2025-07-15,6018.7583,0.4637419781905904,0,0,0,0,-9.738891099730917,-9.738891099730917,test
2025-07-16,6017.1947,0.41555525171708074,0,0,0,0,130.56074614521407,130.56074614521407,test
2025-07-17,6082.4644,0.3205763768633674,0,0,0,0,37.41799225689179,37.41799225689179,test
2025-07-18,6099.6104,0.33741713203098156,0,0,0,0,84.36743231896583,84.36743231896583,test
2025-07-21,6161.3086,0.3281155326813354,0,0,0,0,83.66095222008596,83.66095222008596,test
2025-07-22,6213.4072,0.3354994010156104,0,0,0,0,-32.73242644917573,-32.73242644917573,test
2025-07-23,6196.7577,0.6141529100225227,0,0,0,0,160.97880472548232,160.97880472548232,test
2025-07-24,6293.5984,0.3279868783560627,0,0,0,0,12.066770245386937,12.066770245386937,test
2025-07-25,6299.5908,0.34033071066536635,0,0,0,0,4.596346899421455,4.596346899421455,test
2025-07-28,6323.4198,0.3729067338915341,0,0,0,0,59.05227463232077,59.05227463232077,test
2025-07-29,6356.1327,0.33755006558309897,0,0,0,0,-74.79701313730436,-74.79701313730436,test
2025-07-30,6314.6873,0.7987926090104323,0,0,0,0,-122.04314312288966,-122.04314312288966,test
2025-07-31,6226.3432,0.9270911983846468,1,0,0,0,-49.358544830974125,-49.358544830974125,test
2025-08-01,6213.2014,0.6938167132787791,0,0,0,0,140.00368283231035,140.00368283231035,test
2025-08-04,6261.7313,0.5210646253854594,0,0,0,0,34.91741308610629,34.91741308610629,test
2025-08-05,6303.2359,0.5118895976550468,0,0,0,0,91.13152265834978,91.13152265834978,test
2025-08-06,6357.3769,0.5068057755047516,0,0,0,0,-50.59144013901506,-50.59144013901506,test
2025-08-07,6337.5425,0.6223744146093133,0,0,0,0,17.792203270288187,17.792203270288187,test
2025-08-08,6323.4999,0.5125593015424349,0,0,0,0,89.93143271628368,89.93143271628368,test
2025-08-11,6391.7595,0.5802119078078587,0,0,0,0,47.53580817451919,47.53580817451919,test
2025-08-12,6418.1595,0.4814847411160733,0,0,0,0,134.55151857785674,134.55151857785674,test
2025-08-13,6508.0978,0.5189663275184103,0,0,0,0,-141.0610829258274,-141.0610829258274,test
2025-08-14,6429.8462,0.9149686302537541,1,1,1,1,304.7951480702693,304.7951480702693,test
2025-08-15,6568.57,0.479161619752726,0,0,0,0,75.86464925884329,75.86464925884329,test
2025-08-18,6668.1726,0.74039859211617,0,0,0,0,-59.34604272419208,-59.34604272419208,test
2025-08-19,6655.3105,0.6357974065085324,0,1,0,0,175.24587559739624,175.24587559739624,test
2025-08-20,6728.0692,0.45003222188599057,0,0,0,0,-52.910742970533335,-52.910742970533335,test
2025-08-21,6704.1657,0.7540438092984105,0,1,0,0,271.8342670826779,271.8342670826779,test
2025-08-22,6822.8469,0.4390140706227809,0,0,0,0,61.01708324401267,61.01708324401267,test
2025-08-25,6951.8955,0.5454473456334297,0,0,0,0,52.65876574209738,52.65876574209738,test
2025-08-26,6964.0653,0.4648682563678013,0,0,0,0,-152.57776578025184,-152.57776578025184,test
2025-08-27,6862.5624,0.75911916693977,0,1,0,0,250.45014197559112,250.45014197559112,test
2025-08-28,7011.1602,0.4807233844839604,0,0,0,0,81.73166391904907,81.73166391904907,test
2025-08-29,7043.9416,0.6273466508033262,0,0,0,0,29.926208993997783,29.926208993997783,test
2025-09-01,7110.2882,0.4735089560599129,0,0,0,0,-170.10133965596032,-170.10133965596032,test
2025-09-02,6961.6894,0.8867530652015854,1,0,0,0,-148.34358313631225,-148.34358313631225,test
2025-09-03,6868.4615,0.8790473955759983,1,0,0,0,-254.50841986319085,-254.50841986319085,test
2025-09-04,6698.4474,0.8500150327734936,1,1,1,1,325.3202904393926,325.3202904393926,test
2025-09-05,6913.9532,0.4996978701859537,0,0,0,0,46.95869541144759,46.95869541144759,test
2025-09-08,6992.1169,0.4910758988949261,0,0,0,0,-70.15206875498725,-70.15206875498725,test
2025-09-09,6928.9651,0.6870680649639321,0,0,0,0,19.0876666314721,19.0876666314721,test
2025-09-10,6932.1092,0.5637994041094847,0,1,0,0,276.28280192682377,276.28280192682377,test
2025-09-11,7122.7051,0.4509629377215812,0,0,0,0,77.01672584594421,77.01672584594421,test
2025-09-12,7147.7489,0.5705985983078323,0,0,0,0,-25.414996010759694,-25.414996010759694,test
2025-09-15,7137.3627,0.44270150631868194,0,0,0,0,44.846551657675704,44.846551657675704,test
2025-09-16,7190.9928,0.4349232798471266,0,0,0,0,89.10418907501771,89.10418907501771,test
2025-09-17,7260.0353,0.43156687058715804,0,0,0,0,-65.65227776978655,-65.65227776978655,test
2025-09-18,7199.8828,0.7794591262871765,0,0,0,0,-24.725956894142698,-24.725956894142698,test
2025-09-19,7170.3488,0.5664701768265791,0,0,0,0,80.69038975355713,80.69038975355713,test
2025-09-22,7225.1281,0.4078218119894307,0,0,0,0,-138.84260439932515,-138.84260439932515,test
2025-09-23,7180.7137,0.575127437822568,0,1,0,0,259.57882405375886,259.57882405375886,test
2025-09-24,7323.7093,0.3921109678636573,0,0,0,0,-18.86096218331246,-18.86096218331246,test
2025-09-25,7341.3238,0.4208631611919201,0,0,0,0,-82.49793865248822,-82.49793865248822,test
2025-09-26,7240.9114,0.7420282558260801,0,1,0,0,166.86414015065986,166.86414015065986,test
2025-09-29,7350.5599,0.4583825555070542,0,0,0,0,132.27952869329317,132.27952869329317,test
2025-09-30,7412.3684,0.3905841076979259,0,0,0,0,39.28261552931911,39.28261552931911,test
2025-10-09,7548.9226,0.39679430765487894,0,0,0,0,-485.7563314101865,-485.7563314101865,test
2025-10-10,7398.2241,0.7906256526638379,0,1,0,0,419.07013548786233,419.07013548786233,test
2025-10-13,7376.5636,0.3751602061194704,0,0,0,0,-307.2029462444803,-307.2029462444803,test
2025-10-14,7194.8509,0.8739213458067786,1,0,0,1,88.1547614694278,88.1547614694278,test
2025-10-15,7294.0014,0.39054306856709775,0,0,0,0,-58.92939262156172,-58.92939262156172,test
2025-10-16,7231.5336,0.5781919732567522,0,0,0,0,-184.79105024237884,-184.79105024237884,test
2025-10-17,7016.0661,0.806254377518328,0,0,0,0,3.852170928055898,3.852170928055898,test
2025-10-20,7069.6412,0.5313719514480653,0,0,0,0,55.79853892598852,55.79853892598852,test
2025-10-21,7185.624,0.38865329353599076,0,0,0,0,-36.935010896107514,-36.935010896107514,test
2025-10-22,7128.4776,0.4027983819914214,0,0,0,0,94.34543919839777,94.34543919839777,test
2025-10-23,7142.9536,0.37036587055559705,0,1,0,0,223.35913205761227,223.35913205761227,test
2025-10-24,7258.5343,0.34164212959051576,0,0,0,0,11.245325085762481,11.245325085762481,test
2025-10-27,7379.3941,0.3803553472437669,0,0,0,0,8.581577453974365,8.581577453974365,test
2025-10-28,7341.0304,0.49678407943132763,0,0,0,0,151.92449713271827,151.92449713271827,test
2025-10-29,7480.9666,0.3239970230658575,0,0,0,0,-102.76849937646327,-102.76849937646327,test
2025-10-30,7385.7109,0.5586818746993648,0,0,0,0,-79.37225212962029,-79.37225212962029,test
2025-10-31,7331.0031,0.5947227487792829,0,0,0,0,-16.28361484457774,-16.28361484457774,test
2025-11-03,7333.6013,0.3176593565266346,0,0,0,0,-295.59469469878866,-295.59469469878866,test
2025-11-04,7210.8253,0.6674752447393425,0,1,0,0,203.1850966473825,203.1850966473825,test
2025-11-05,7229.341,0.3628022795540259,0,0,0,0,88.49684708928108,88.49684708928108,test
2025-11-06,7345.723,0.32132143160017557,0,0,0,0,68.48402019685507,68.48402019685507,test
2025-11-07,7327.9108,0.4051510638744455,0,0,0,0,10.310656874430446,10.310656874430446,test
2025-11-10,7343.8017,0.4229421703909315,0,0,0,0,-135.95942747605116,-135.95942747605116,test
2025-11-11,7291.6084,0.5253073126940785,0,0,0,0,-29.115768214699187,-29.115768214699187,test
2025-11-12,7243.2483,0.4997033905438538,0,0,0,0,55.30272073156483,55.30272073156483,test
2025-11-13,7355.2911,0.32619917223678757,0,0,0,0,-47.74730335174726,-47.74730335174726,test
2025-11-14,7235.4617,0.576720597449177,0,0,0,0,-46.75371299366682,-46.75371299366682,test
2025-11-17,7235.3512,0.31310828990434236,0,0,0,0,-102.23948889361512,-102.23948889361512,test
2025-11-18,7151.0176,0.5950972022299197,0,0,0,0,45.98695628691196,45.98695628691196,test
2025-11-19,7122.7465,0.4098684673342824,0,0,0,0,-304.36704254353964,-304.36704254353964,test
2025-11-20,7061.9497,0.5263277964120049,0,0,0,0,-142.31955051278723,-142.31955051278723,test
2025-11-21,6817.4103,0.8145767846949356,1,0,0,1,85.12584072937423,85.12584072937423,test
2025-11-24,6868.9664,0.40603886098387043,0,0,0,0,44.76839914047348,44.76839914047348,test
2025-11-25,6954.6034,0.5000499706886343,0,0,0,0,35.49008324290837,35.49008324290837,test
2025-11-26,6965.0453,0.3905524892214155,0,0,0,0,-33.70664223843689,-33.70664223843689,test
2025-11-27,6951.2844,0.364791666295012,0,0,0,0,153.45698086098201,153.45698086098201,test
2025-11-28,7031.5505,0.2586223774242838,0,0,0,0,43.87945976316976,43.87945976316976,test
2025-12-01,7101.8323,0.2586383123317234,0,0,0,0,-56.37732277231966,-56.37732277231966,test
