signal_key,signal_label,run_id,start_date,end_date,run_length_trading_days,phase,raw_h1_mean_bp,directional_h1_mean_bp
minus_entry,零段向下（0→-1）,46,2020-10-21,2020-10-21,1,Development,-146.88367640317114,146.88367640317114
minus_entry,零段向下（0→-1）,47,2020-11-13,2020-11-13,1,Development,24.18113794469212,-24.18113794469212
minus_entry,零段向下（0→-1）,48,2020-11-20,2020-11-20,1,Development,127.66973333631526,-127.66973333631526
minus_entry,零段向下（0→-1）,49,2020-12-07,2020-12-07,1,Development,-64.6908108194877,64.6908108194877
minus_entry,零段向下（0→-1）,50,2020-12-14,2020-12-14,1,Development,68.09259795619305,-68.09259795619305
minus_entry,零段向下（0→-1）,51,2020-12-23,2020-12-23,1,Development,84.93158594869988,-84.93158594869988
minus_entry,零段向下（0→-1）,52,2020-12-30,2020-12-30,1,Development,139.60750594231186,-139.60750594231186
minus_entry,零段向下（0→-1）,53,2021-01-13,2021-01-13,1,Development,-119.45768958228187,119.45768958228187
minus_entry,零段向下（0→-1）,54,2021-01-21,2021-01-21,1,Development,103.51868568457601,-103.51868568457601
minus_entry,零段向下（0→-1）,55,2021-02-02,2021-02-02,1,Development,85.57745197274701,-85.57745197274701
minus_entry,零段向下（0→-1）,56,2021-02-23,2021-02-23,1,Development,29.758219175410883,-29.758219175410883
minus_entry,零段向下（0→-1）,57,2021-03-05,2021-03-05,1,Development,202.39207302430228,-202.39207302430228
minus_entry,零段向下（0→-1）,58,2021-03-24,2021-03-24,1,Development,-99.41681912389977,99.41681912389977
minus_entry,零段向下（0→-1）,59,2021-04-07,2021-04-07,1,Development,-27.48182734247484,27.48182734247484
minus_entry,零段向下（0→-1）,60,2021-05-10,2021-05-10,1,Development,-38.88712732176502,38.88712732176502
minus_entry,零段向下（0→-1）,61,2021-05-19,2021-05-19,1,Development,-62.30773435643822,62.30773435643822
minus_entry,零段向下（0→-1）,62,2021-06-10,2021-06-10,1,Development,126.81311523564665,-126.81311523564665
minus_entry,零段向下（0→-1）,63,2021-07-01,2021-07-01,1,Development,-185.46898567610714,185.46898567610714
minus_entry,零段向下（0→-1）,64,2021-07-09,2021-07-09,1,Development,194.69520162055164,-194.69520162055164
minus_entry,零段向下（0→-1）,65,2021-07-19,2021-07-19,1,Development,-117.25340121045758,117.25340121045758
minus_entry,零段向下（0→-1）,66,2021-08-05,2021-08-05,1,Development,11.679484026105857,-11.679484026105857
minus_entry,零段向下（0→-1）,67,2021-08-18,2021-08-18,1,Development,49.748184230500314,-49.748184230500314
minus_entry,零段向下（0→-1）,68,2021-08-27,2021-08-27,1,Development,149.3262755101532,-149.3262755101532
minus_entry,零段向下（0→-1）,69,2021-09-16,2021-09-16,1,Development,-256.1104634780109,256.1104634780109
minus_entry,零段向下（0→-1）,70,2021-10-14,2021-10-14,1,Development,36.54323675468252,-36.54323675468252
