series,run_id,state,state_label,start_date,end_date,start_formation_date,end_formation_date,phase,holding_days,previous_state,next_state,formation_mechanism,source_detail,segment_return,return_available,+1反转_days,-1反转_days,0转-1_days,0转+1_days,大涨_days,大跌_days
Adj 1545,134,0,0,2020-09-24,2020-09-24,2020-09-23,2020-09-23,Train,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,135,-1,-1,2020-09-25,2020-09-25,2020-09-24,2020-09-24,Train,1,0,0.0,0转-1持有路径短段,0转-1持有,0.0026595337583705803,True,0,0,1,0,0,0
Adj 1545,138,0,0,2020-10-21,2020-10-21,2020-10-20,2020-10-20,Train,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,139,-1,-1,2020-10-22,2020-10-22,2020-10-21,2020-10-21,Train,1,0,0.0,0转-1持有路径短段,0转-1持有,0.0031264551047279765,True,0,0,1,0,0,0
Adj 1545,140,0,0,2020-10-23,2020-10-26,2020-10-22,2020-10-23,Train,2,-1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,143,-1,-1,2020-11-13,2020-11-16,2020-11-12,2020-11-13,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.012080638822143719,True,0,0,2,0,0,0
Adj 1545,145,-1,-1,2020-11-20,2020-11-23,2020-11-19,2020-11-20,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.018489248849635098,True,0,0,2,0,0,0
Adj 1545,147,-1,-1,2020-12-07,2020-12-08,2020-12-04,2020-12-07,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.005485637163710644,True,0,0,2,0,0,0
Adj 1545,151,-1,-1,2020-12-23,2020-12-24,2020-12-22,2020-12-23,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.010130645893314139,True,0,0,2,0,1,0
Adj 1545,153,-1,-1,2020-12-30,2020-12-31,2020-12-29,2020-12-30,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.031890873184904134,True,0,0,2,0,0,0
Adj 1545,154,0,0,2021-01-04,2021-01-05,2020-12-31,2021-01-04,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,156,0,0,2021-01-12,2021-01-12,2021-01-11,2021-01-11,Train,1,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,1,0
Adj 1545,157,-1,-1,2021-01-13,2021-01-14,2021-01-12,2021-01-13,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.018846333429624607,True,0,0,2,0,0,0
Adj 1545,158,0,0,2021-01-15,2021-01-18,2021-01-14,2021-01-15,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,159,1,+1,2021-01-19,2021-01-20,2021-01-18,2021-01-19,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.006440797570073431,True,0,0,0,2,0,0
Adj 1545,160,0,0,2021-01-21,2021-01-22,2021-01-20,2021-01-21,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,161,1,+1,2021-01-25,2021-01-25,2021-01-22,2021-01-22,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.0022710972373488625,True,0,0,0,1,0,0
Adj 1545,164,0,0,2021-02-19,2021-02-19,2021-02-18,2021-02-18,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,165,1,+1,2021-02-22,2021-02-22,2021-02-19,2021-02-19,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.017515250006335914,True,0,0,0,1,0,0
Adj 1545,166,0,0,2021-02-23,2021-02-24,2021-02-22,2021-02-23,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,167,1,+1,2021-02-25,2021-02-26,2021-02-24,2021-02-25,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,-0.02901657915977085,True,0,0,0,2,0,0
Adj 1545,170,0,0,2021-03-15,2021-03-15,2021-03-12,2021-03-12,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,171,1,+1,2021-03-16,2021-03-16,2021-03-15,2021-03-15,Train,1,0,-1.0,0转+1持有路径短段,0转+1持有,0.0007811279942895322,True,0,0,0,1,0,0
Adj 1545,174,1,+1,2021-04-02,2021-04-06,2021-04-01,2021-04-02,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.005351247954713534,True,0,0,0,2,0,0
Adj 1545,177,-1,-1,2021-05-10,2021-05-10,2021-05-07,2021-05-07,Train,1,1,0.0,0转-1持有路径短段,0转-1持有,0.0038887127321765025,True,0,0,1,0,0,0
Adj 1545,180,0,0,2021-05-19,2021-05-19,2021-05-18,2021-05-18,Train,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,181,-1,-1,2021-05-20,2021-05-21,2021-05-19,2021-05-20,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.0038458325820558414,True,0,0,2,0,0,0
Adj 1545,184,-1,-1,2021-06-10,2021-06-10,2021-06-09,2021-06-09,Train,1,1,0.0,0转-1持有路径短段,0转-1持有,-0.012681311523564665,True,0,0,1,0,0,0
Adj 1545,185,0,0,2021-06-11,2021-06-15,2021-06-10,2021-06-11,Train,2,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,188,-1,-1,2021-07-01,2021-07-02,2021-06-30,2021-07-01,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.023163777182204526,True,0,0,2,0,1,0
Adj 1545,190,1,+1,2021-07-08,2021-07-08,2021-07-07,2021-07-07,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.007857877423258386,True,0,0,0,1,0,0
Adj 1545,191,0,0,2021-07-09,2021-07-12,2021-07-08,2021-07-09,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,194,0,0,2021-07-22,2021-07-23,2021-07-21,2021-07-22,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,196,0,0,2021-08-05,2021-08-06,2021-08-04,2021-08-05,Train,2,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,197,-1,-1,2021-08-09,2021-08-09,2021-08-06,2021-08-06,Train,1,0,0.0,0转-1持有路径短段,0转-1持有,-0.008172009003110103,True,0,0,1,0,0,0
Adj 1545,201,-1,-1,2021-08-27,2021-08-30,2021-08-26,2021-08-27,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.01491841051465459,True,0,0,2,0,0,0
Adj 1545,202,0,0,2021-08-31,2021-08-31,2021-08-30,2021-08-30,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
