date,target_date,open,close,target_return,target_bp,phase,up_score,up_predicted,up_actual_extreme,up_score_excess,down_score,down_predicted,down_actual_extreme,down_score_excess,conflict,marker
2021-11-12,2021-11-15,7118.9925,7156.6127,0.006608336783610724,66.08336783610724,Development,0.35616634320522156,0,0,-0.45734513216469597,0.5236074578081107,0,0,-0.15960737208003062,0,none
2021-11-15,2021-11-16,7166.0372,7098.2129,-0.01145902508013763,-114.5902508013763,Development,0.36049435298083926,0,0,-0.45301712238907826,0.5083482199616683,0,0,-0.17486660992647296,0,none
2021-11-16,2021-11-17,7083.9214,7045.9387,-0.005687301951148194,-56.873019511481935,Development,0.5834695474758478,0,0,-0.23004192789406974,0.5113921149833341,0,0,-0.17182271490480716,0,none
2021-11-17,2021-11-18,7043.633,7104.5344,0.00924901964653757,92.4901964653757,Development,0.5061728697230266,0,0,-0.30733860564689097,0.5428216345577692,0,0,-0.1403931953303721,0,none
2021-11-18,2021-11-19,7108.7797,7084.6827,-0.0036255308347789006,-36.255308347789004,Development,0.3548365368205807,0,0,-0.45867493854933683,0.5243712558815188,0,0,-0.15884357400662252,0,none
2021-11-19,2021-11-22,7083.0066,7169.8759,0.013326812373717134,133.26812373717135,Development,0.38991910196186397,0,0,-0.42359237340805356,0.524765063094391,0,0,-0.15844976679375034,0,none
2021-11-22,2021-11-23,7177.4005,7255.0736,0.009550114975470647,95.50114975470647,Development,0.35915907169933387,0,0,-0.45435240367058366,0.5412109318556382,0,0,-0.14200389803250313,0,none
2021-11-23,2021-11-24,7245.9455,7261.3791,0.001969460024230152,19.69460024230152,Development,0.36515467862338136,0,0,-0.44835679674653617,0.48832729868898783,0,0,-0.19488753119915347,0,none
2021-11-24,2021-11-25,7260.2161,7256.1117,0.0003549894334411441,3.549894334411441,Development,0.3600816433565266,0,0,-0.45342983201339093,0.5022896907637293,0,0,-0.180925139124412,0,none
2021-11-25,2021-11-26,7262.7934,7233.5423,-0.006355006601179047,-63.55006601179048,Development,0.3604922943405447,0,0,-0.45301918102937283,0.4842172066757346,0,0,-0.19899762321240672,0,none
2021-11-26,2021-11-29,7216.6383,7219.8622,-0.01201376546750299,-120.1376546750299,Development,0.35946991532548067,0,0,-0.45404156004443685,0.4919028381710353,0,0,-0.191311991717106,0,none
2021-11-29,2021-11-30,7129.9393,7221.8978,0.017166064793847635,171.66064793847636,Development,0.3662376135911065,0,1,-0.447273861778811,0.5122750543266577,0,0,-0.17093977556148365,0,none
2021-11-30,2021-12-01,7252.3323,7252.7552,-0.0018207384126620596,-18.207384126620596,Development,0.37235626993152826,0,0,-0.44115520543838926,0.6383029388470768,0,0,-0.04491189104106452,0,none
2021-12-01,2021-12-02,7239.1277,7272.837,0.0023892933951144,23.892933951144002,Development,0.4273030094899922,0,0,-0.3862084658799253,0.5858417602572463,0,0,-0.09737306963089498,0,none
2021-12-02,2021-12-03,7256.4241,7229.988,-0.0031491819779387864,-31.491819779387864,Development,0.3688520523317161,0,0,-0.44465942303820144,0.5674529708749131,0,0,-0.11576185901322822,0,none
2021-12-03,2021-12-06,7233.5723,7301.9173,0.010425858327288706,104.25858327288707,Development,0.4126059207875943,0,0,-0.40090555458232324,0.5567901363874973,0,0,-0.126424693500644,0,none
2021-12-06,2021-12-07,7308.9885,7240.4558,-0.0047697981738512585,-47.69798173851258,Development,0.4067530993985865,0,0,-0.406758375971331,0.5352947087663561,0,0,-0.1479201211217852,0,none
2021-12-07,2021-12-08,7274.1261,7206.8257,-0.00675360851937945,-67.5360851937945,Development,0.7562407938835167,0,0,-0.0572706814864008,0.5272751500530767,0,0,-0.15593967983506463,0,none
2021-12-08,2021-12-09,7224.9995,7302.9905,0.010213979945604246,102.13979945604245,Development,0.7002213441387528,0,0,-0.11329013123116471,0.5534510082414164,0,0,-0.12976382164672495,0,none
2021-12-09,2021-12-10,7298.7955,7320.3177,-0.0017567282163201137,-17.567282163201135,Development,0.3884188634386481,0,0,-0.4250926119312694,0.5823797090771705,0,0,-0.10083512081097079,0,none
2021-12-10,2021-12-13,7285.9735,7306.646,0.006606735530948482,66.06735530948482,Development,0.38899590092727626,0,0,-0.42451557444264126,0.5826485379592137,0,0,-0.10056629192892763,0,none
2021-12-13,2021-12-14,7334.11,7353.0306,-0.0005282167843132513,-5.2821678431325125,Development,0.3850039298811288,0,0,-0.4285075454887887,0.5923738995225343,0,0,-0.09084093036560703,0,none
2021-12-14,2021-12-15,7330.236,7324.1331,-0.001442231873571287,-14.422318735712869,Development,0.3922414806802008,0,0,-0.4212699946897167,0.5103984578384303,0,0,-0.172816372049711,0,none
2021-12-15,2021-12-16,7319.6641,7314.2586,0.0005119907073332097,5.119907073332097,Development,0.3748863518663419,0,0,-0.43862512350357563,0.50571858167682,0,0,-0.17749624821132126,0,none
2021-12-16,2021-12-17,7323.4117,7380.9974,0.007825382806213144,78.25382806213143,Development,0.38419266698356225,0,0,-0.4293188083863553,0.5007889685615393,0,0,-0.182425861326602,0,none
2021-12-17,2021-12-20,7380.7202,7314.5601,-0.012162959381660343,-121.62959381660343,Development,0.297385612991626,0,0,-0.5161258623782915,0.47928910643026634,0,0,-0.20392572345787496,0,none
2021-12-20,2021-12-21,7290.9488,7195.9732,-0.013712344269925514,-137.12344269925515,Development,0.49680658347512496,0,0,-0.31670489189479256,0.470778418442959,0,0,-0.21243641144518233,0,none
2021-12-21,2021-12-22,7190.9728,7275.4675,0.013758041192980297,137.58041192980298,Development,0.8092092565878625,0,0,-0.004302218782055056,0.4346629035447679,0,0,-0.24855192634337342,0,none
2021-12-22,2021-12-23,7289.9065,7302.463,0.002229411310007867,22.294113100078672,Development,0.3825874994153122,0,0,-0.4309239759546053,0.4931518275356932,0,0,-0.1900630023524481,0,none
2021-12-23,2021-12-24,7306.1587,7337.19,0.004084348728970344,40.84348728970344,Development,0.3499134083501813,0,0,-0.4635980670197362,0.4295204876622902,0,0,-0.25369434222585113,0,none
2021-12-24,2021-12-27,7335.9996,7278.7556,-0.00908255229457755,-90.8255229457755,Development,0.3764895452680882,0,0,-0.4370219301018293,0.42776890145458324,0,0,-0.25544592843355807,0,none
2021-12-27,2021-12-28,7269.37,7272.7493,0.0016004275473666674,16.004275473666674,Development,0.5205165766594284,0,0,-0.2929948987104891,0.41060456788181116,0,0,-0.27261026200633015,0,none
2021-12-28,2021-12-29,7281.0041,7286.0336,-0.000732110561509014,-7.32110561509014,Development,0.397834774569372,0,0,-0.41567670080054553,0.44838093473782425,0,0,-0.23483389515031705,0,none
