date,target_date,open,high,low,close,volume,amount,prev_close,phase,target_return,target_bp,score,score_threshold,score_excess,predicted,actual_extreme,correct,direction_correct,signed_return_bp,indicator_1,indicator_2,indicator_3,indicator_4,prediction_label
2020-07-07,2020-07-08,6368.3135,6480.0286,6300.2446,6380.0276,32586542500.0,329327405395.3,6299.8551,Development,0.0016696100152733262,16.696100152733262,0.4590498832340629,0.8135114753699175,-0.3544615921358546,0,0,0,0,16.696100152733262,0.5229438194812761,0.4152934669123797,0.5125382538967883,0.3263024876104331,
2020-07-08,2020-07-09,6378.9461,6541.4382,6352.3731,6535.4151,28884738900.0,292261704951.5,6380.0276,Development,0.025449235258470093,254.49235258470094,0.8579205180112579,0.8135114753699175,0.04440904264134038,1,1,1,1,254.49235258470094,0.9425779657030114,0.9235516959100981,0.6660784813271042,0.8269516807840224,预测大涨
2020-07-09,2020-07-10,6541.2854,6712.1445,6530.0207,6693.7452,31741227100.0,334582903483.0,6535.4151,Development,0.018809896293471517,188.0989629347152,0.42612714844977895,0.8135114753699175,-0.3873843269201386,0,1,0,0,188.0989629347152,0.4089700273616418,0.49209835790060885,0.47876826031152847,0.2747548854132122,
2020-07-10,2020-07-13,6664.3263,6763.8121,6644.3586,6676.4373,28873667200.0,322509785233.7,6693.7452,Development,0.006948774401997593,69.48774401997593,0.4892342136315738,0.8135114753699175,-0.3242772617383437,0,0,0,0,69.48774401997593,0.4915814850260228,0.5553645959088216,0.5029626112144039,0.3496415462567947,
2020-07-13,2020-07-14,6710.6352,6899.622,6710.6352,6899.5175,29730559500.0,335186154096.4,6676.4373,Development,0.027772065452164707,277.7206545216471,0.7580835762647279,0.8135114753699175,-0.05542789910518964,0,1,0,0,277.7206545216471,0.7574204338860693,0.7339271020317972,0.6919163160845798,0.8927465664747091,
2020-07-14,2020-07-15,6897.0034,6897.0034,6672.7996,6807.727,29386829700.0,341854745106.6,6899.5175,Development,-0.011800371158291578,-118.00371158291578,0.42241422193110906,0.8135114753699175,-0.39109725343880847,0,0,0,0,-118.00371158291578,0.44493926737579426,0.45984716913564605,0.4644052880284554,0.25130312686936196,
2020-07-15,2020-07-16,6815.6162,6838.1524,6598.5228,6638.8384,25647283000.0,300879616805.6,6807.727,Development,-0.02542505254330496,-254.2505254330496,0.7812198414120752,0.8135114753699175,-0.03229163395784229,0,0,0,0,-254.2505254330496,0.8758481904349869,0.8696085839865916,0.6042484012341183,0.6687900304776746,
2020-07-16,2020-07-17,6642.3288,6710.995,6305.133,6319.9981,25331587000.0,277008155088.1,6638.8384,Development,-0.0474686378066681,-474.686378066681,0.9028386667437844,0.8135114753699175,0.08932719137386691,1,0,0,0,-474.686378066681,0.9709013541505264,0.9506839600451175,0.7276442528214383,0.9153685118703498,预测大涨
2020-07-17,2020-07-20,6327.0265,6447.5092,6272.9416,6344.5912,19680390900.0,215076901728.0,6319.9981,Development,0.014549251532295582,145.49251532295582,0.9110412788879273,0.8135114753699175,0.09752980351800977,1,0,0,1,145.49251532295582,0.9649008933101942,0.938630847523794,0.7821163730086274,0.9255795987118806,预测大涨
2020-07-20,2020-07-21,6419.08,6526.8325,6340.6495,6526.8325,21241322200.0,225848583600.9,6344.5912,Development,0.019860369398730038,198.60369398730037,0.7059250812593977,0.8135114753699175,-0.10758639411051985,0,1,0,0,198.60369398730037,0.6531469459350401,0.7391978600996699,0.7066300674826632,0.7588818997961906,
2020-07-21,2020-07-22,6546.5653,6591.0097,6500.8682,6563.3239,19396594900.0,214682284529.3,6526.8325,Development,0.0011613418107965234,11.613418107965234,0.4535193321802436,0.8135114753699175,-0.35999214318967393,0,0,0,0,11.613418107965234,0.4111557541205642,0.6031071294282836,0.470349975113361,0.25862115633995575,
2020-07-22,2020-07-23,6554.1681,6699.6871,6534.7427,6620.6893,21010119800.0,232947421316.2,6563.3239,Development,0.0012023493874073754,12.023493874073754,0.5515140394081948,0.8135114753699175,-0.26199743596172276,0,0,0,0,12.023493874073754,0.4855380156842569,0.6181598955934773,0.5805858578233073,0.5351090911765383,
2020-07-23,2020-07-24,6562.0485,6629.2067,6431.2609,6620.0859,20799246200.0,240882435490.9,6620.6893,Development,0.003468551017262289,34.68551017262289,0.6713119170033793,0.8135114753699175,-0.1421995583665382,0,0,0,0,34.68551017262289,0.6675509561795417,0.7253353573805367,0.6041570791081494,0.6771008401999498,
2020-07-24,2020-07-27,6584.8093,6609.2877,6265.3789,6283.9831,21901777700.0,247232797429.5,6620.0859,Development,-0.04255603879067538,-425.56038790675376,0.42952546558415067,0.8135114753699175,-0.38398600978576686,0,0,0,0,-425.56038790675376,0.3922135800438639,0.5437456822027221,0.4459299034553619,0.28637174120184467,
2020-07-27,2020-07-28,6304.5859,6337.3275,6229.4712,6298.7351,14554248100.0,168023361892.0,6283.9831,Development,0.006518445565155906,65.18445565155906,0.8820463600206143,0.8135114753699175,0.06853488465069679,1,0,0,1,65.18445565155906,0.9389795803750126,0.9027877798906565,0.75129683599295,0.9045463775329826,预测大涨
2020-07-28,2020-07-29,6345.682,6385.3908,6307.7891,6359.6637,13883814400.0,162440480588.8,6298.7351,Development,-0.0007365796142951853,-7.365796142951853,0.5338144673528626,0.8135114753699175,-0.2796970080170549,0,0,0,0,-7.365796142951853,0.42445159769038193,0.6007502801978183,0.5924492523227384,0.5684500635733826,
2020-07-29,2020-07-30,6341.0079,6530.2712,6324.0483,6530.2712,15922168400.0,186898356931.0,6359.6637,Development,0.032753909674202,327.53909674202,0.5274938460658982,0.8135114753699175,-0.2860176293040193,0,1,0,0,327.53909674202,0.4409844533788259,0.5790389990035408,0.5819063034318981,0.5463051590068027,
2020-07-30,2020-07-31,6548.7007,6564.775,6491.4492,6511.436,17761556100.0,209285453557.9,6530.2712,Development,-0.0075292492753562534,-75.29249275356253,0.4177430463283762,0.8135114753699175,-0.3957684290415413,0,0,0,0,-75.29249275356253,0.38695455383443667,0.5114376885403799,0.4643022502949867,0.25518406355290163,
2020-07-31,2020-08-03,6499.3939,6619.2616,6463.415,6579.6696,17991294100.0,207862488529.4,6511.436,Development,0.020917181215928338,209.17181215928338,0.5032208543830339,0.8135114753699175,-0.31029062098688365,0,1,0,0,209.17181215928338,0.45069085712823015,0.5243712318855178,0.5354217960914366,0.5335576430710907,
2020-08-03,2020-08-04,6635.3429,6739.8085,6614.4314,6739.8085,20726674600.0,240946720735.4,6579.6696,Development,0.018559824541999337,185.59824541999336,0.5167882470122622,0.8135114753699175,-0.2967232283576553,0,1,0,0,185.59824541999336,0.5102086574167823,0.5482629792258127,0.5223626125598221,0.46802434090104883,
