date,target_date,open,high,low,close,volume,amount,prev_close,phase,target_return,target_bp,score,score_threshold,score_excess,predicted,actual_extreme,correct,direction_correct,signed_return_bp,indicator_1,indicator_2,indicator_3,indicator_4,prediction_label
2019-01-25,2019-01-28,4341.4133,4359.4637,4315.9525,4318.4417,7165747800.0,52504910506.0,4338.17,Development,1.8173805290455647e-05,0.18173805290455647,0.4300472050128595,0.6832148298881413,-0.2531676248752818,0,0,0,0,-0.18173805290455647,0.2779367168291799,0.4207976053311709,0.7082866372279824,0.3868895725503394,
2019-01-28,2019-01-29,4341.4922,4370.898,4297.9632,4307.2196,6727993500.0,49287478131.6,4318.4417,Development,-0.009218719775656914,-92.18719775656913,0.4105553949401751,0.6832148298881413,-0.2726594349479662,0,0,0,0,92.18719775656913,0.2301415174308272,0.4031054494487522,0.7204682030652734,0.3808421780855194,
2019-01-29,2019-01-30,4301.4692,4301.4692,4188.594,4254.2875,7775372700.0,54223809273.1,4307.2196,Development,-0.015388835051986405,-153.88835051986405,0.44993519005831256,0.6832148298881413,-0.23327963982982874,0,0,0,0,153.88835051986405,0.3386247254174349,0.4083336952387127,0.7185184548716101,0.3899705542361934,
2019-01-30,2019-01-31,4235.2746,4266.8811,4211.1908,4211.6235,5851377000.0,42466758482.8,4254.2875,Development,-0.007389697943080087,-73.89697943080087,0.4554880503720231,0.6832148298881413,-0.2277267795161182,0,0,0,0,73.89697943080087,0.3443166222830652,0.4307481274862785,0.7013627091025482,0.3969445443566398,
2019-01-31,2019-02-01,4203.9772,4240.7162,4151.414,4176.4739,7151120500.0,47694716159.1,4211.6235,Development,-0.0035365082379609225,-35.36508237960923,0.5067116510269452,0.6832148298881413,-0.17650317886119615,0,0,0,0,35.36508237960923,0.30388593025907695,0.6641836501825066,0.6996509397997633,0.39684878707380716,
2019-02-01,2019-02-11,4189.1098,4295.0379,4189.1098,4294.2696,6609967700.0,47693471397.3,4176.4739,Development,0.027951236799761192,279.51236799761193,0.5196848863674656,0.6832148298881413,-0.16352994352067574,0,0,0,0,-279.51236799761193,0.30371080406781625,0.71143942969676,0.6979632507155077,0.39792660944939684,
2019-02-11,2019-02-12,4306.2006,4403.7282,4306.2006,4402.8668,7529735600.0,56743679261.6,4294.2696,Development,0.021420762423375983,214.20762423375982,0.5026572654325804,0.6832148298881413,-0.18055756445556093,0,0,0,0,-214.20762423375982,0.2854491303274789,0.6596630366678173,0.696299067492666,0.4232069750366383,
2019-02-12,2019-02-13,4398.4427,4452.5007,4394.8339,4439.485,8527115600.0,61588925288.5,4402.8668,Development,0.010068381702460272,100.68381702460272,0.494528672650626,0.6832148298881413,-0.1886861572375153,0,0,0,0,-100.68381702460272,0.25677035745081067,0.6497143972745569,0.7198450805416572,0.4183800135081864,
2019-02-13,2019-02-14,4442.7279,4526.2699,4433.0271,4512.4088,11321890300.0,82940466825.7,4439.485,Development,0.014656017983905922,146.56017983905923,0.5033464261626854,0.6832148298881413,-0.17986840372545587,0,0,0,0,-146.56017983905923,0.2753079366936912,0.6406173693502463,0.7397634367172394,0.42263067619355477,
2019-02-14,2019-02-15,4507.8406,4555.2331,4494.5521,4532.1699,9482853300.0,70164059523.1,4512.4088,Development,0.003572508752860415,35.72508752860415,0.4223242179273758,0.6832148298881413,-0.2608906119607655,0,0,0,0,-35.72508752860415,0.27976475255083777,0.3517548049772406,0.7573761694987983,0.3880631211045498,
