series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,47,1,2018-11-28,2018-11-29,2018,Train,2,-0.012229804184973103,True,0转+1持有,2,-0.012229804184973103,True
仅零段反转（0→-1/0→+1）,48,0,2018-11-30,2018-12-03,2018,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,49,1,2018-12-04,2018-12-05,2018,Train,2,-0.006480980863138641,True,0转+1持有,2,-0.006480980863138641,True
仅零段反转（0→-1/0→+1）,50,0,2018-12-06,2018-12-24,2018,Train,13,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,51,-1,2018-12-25,2019-01-04,2018,Train,7,-0.0015598144296589123,True,0转-1持有；基础-1,2,-0.0015598144296589123,True
仅零段反转（0→-1/0→+1）,52,1,2019-01-07,2019-01-25,2019,Train,15,0.02531118752794781,True,0转+1持有；基础+1,6,0.02531118752794781,True
仅零段反转（0→-1/0→+1）,53,0,2019-01-28,2019-01-29,2019,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,54,-1,2019-01-30,2019-01-31,2019,Train,2,0.01092620618104101,True,0转-1持有,2,0.01092620618104101,True
仅零段反转（0→-1/0→+1）,55,0,2019-02-01,2019-02-11,2019,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,56,1,2019-02-12,2019-03-11,2019,Train,20,0.22796213936376752,True,0转+1持有；基础+1,1,0.22796213936376752,True
仅零段反转（0→-1/0→+1）,57,-1,2019-03-12,2019-03-13,2019,Train,2,0.02145905961050565,True,0转-1持有,2,0.02145905961050565,True
仅零段反转（0→-1/0→+1）,58,0,2019-03-14,2019-03-27,2019,Train,10,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,59,-1,2019-03-28,2019-03-29,2019,Train,2,-0.029688700980503135,True,0转-1持有,2,-0.029688700980503135,True
仅零段反转（0→-1/0→+1）,60,1,2019-04-01,2019-04-08,2019,Train,5,0.04353739223785924,True,0转+1持有,5,0.04353739223785924,True
仅零段反转（0→-1/0→+1）,61,0,2019-04-09,2019-04-24,2019,Train,12,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,62,-1,2019-04-25,2019-05-13,2019,Train,10,0.13157513292280654,True,0转-1持有；基础-1,2,0.13157513292280654,True
仅零段反转（0→-1/0→+1）,63,1,2019-05-14,2019-05-17,2019,Train,4,-0.0002568093892421075,True,0转+1持有,4,-0.0002568093892421075,True
仅零段反转（0→-1/0→+1）,64,0,2019-05-20,2019-05-20,2019,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,65,-1,2019-05-21,2019-05-21,2019,Train,1,-0.017248707350539627,True,0转-1持有,1,-0.017248707350539627,True
仅零段反转（0→-1/0→+1）,66,0,2019-05-22,2019-06-03,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,67,-1,2019-06-04,2019-06-05,2019,Train,2,0.014707660243164056,True,0转-1持有,2,0.014707660243164056,True
仅零段反转（0→-1/0→+1）,68,1,2019-06-06,2019-06-12,2019,Train,4,0.017170525760710875,True,0转+1持有,4,0.017170525760710875,True
仅零段反转（0→-1/0→+1）,69,0,2019-06-13,2019-06-17,2019,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,70,-1,2019-06-18,2019-06-19,2019,Train,2,-0.010388210029944056,True,0转-1持有,2,-0.010388210029944056,True
仅零段反转（0→-1/0→+1）,71,1,2019-06-20,2019-06-25,2019,Train,4,0.018981062312173114,True,0转+1持有,4,0.018981062312173114,True
仅零段反转（0→-1/0→+1）,72,0,2019-06-26,2019-07-05,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,73,-1,2019-07-08,2019-07-10,2019,Train,3,0.03198851811180359,True,0转-1持有,3,0.03198851811180359,True
仅零段反转（0→-1/0→+1）,74,0,2019-07-11,2019-07-23,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,75,-1,2019-07-24,2019-07-25,2019,Train,2,-0.008867247905143039,True,0转-1持有,2,-0.008867247905143039,True
仅零段反转（0→-1/0→+1）,76,0,2019-07-26,2019-08-02,2019,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,77,-1,2019-08-05,2019-08-07,2019,Train,3,0.03223813419832555,True,0转-1持有,3,0.03223813419832555,True
仅零段反转（0→-1/0→+1）,78,0,2019-08-08,2019-08-20,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,79,1,2019-08-21,2019-09-12,2019,Train,17,0.07967096180631428,True,基础+1,0,0.07967096180631428,True
仅零段反转（0→-1/0→+1）,80,-1,2019-09-16,2019-09-17,2019,Train,2,0.021978120018135372,True,0转-1持有,2,0.021978120018135372,True
仅零段反转（0→-1/0→+1）,81,0,2019-09-18,2019-09-27,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,82,-1,2019-09-30,2019-10-09,2019,Train,3,0.00404661872727341,True,0转-1持有,3,0.00404661872727341,True
仅零段反转（0→-1/0→+1）,83,0,2019-10-10,2019-11-07,2019,Train,21,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,84,-1,2019-11-08,2019-11-11,2019,Train,2,0.03155566336379756,True,0转-1持有,2,0.03155566336379756,True
仅零段反转（0→-1/0→+1）,85,0,2019-11-12,2019-11-20,2019,Train,7,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,86,-1,2019-11-21,2019-11-26,2019,Train,4,0.009801115626563717,True,0转-1持有,4,0.009801115626563717,True
仅零段反转（0→-1/0→+1）,87,0,2019-11-27,2019-12-06,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,88,1,2019-12-09,2020-01-13,2019,Train,25,0.10639273478676325,True,基础+1,0,0.10639273478676325,True
仅零段反转（0→-1/0→+1）,89,0,2020-01-14,2020-02-03,2020,Train,9,0.0,True,基础0；零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,90,1,2020-02-04,2020-02-10,2020,Train,5,0.13208315771172652,True,0转+1持有,5,0.13208315771172652,True
仅零段反转（0→-1/0→+1）,91,0,2020-02-11,2020-02-14,2020,Train,4,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,92,-1,2020-02-17,2020-02-17,2020,Train,1,-0.02811963547059615,True,0转-1持有,1,-0.02811963547059615,True
仅零段反转（0→-1/0→+1）,93,0,2020-02-18,2020-02-18,2020,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,94,1,2020-02-19,2020-02-28,2020,Train,8,-0.0235551189533183,True,基础+1,0,-0.0235551189533183,True
仅零段反转（0→-1/0→+1）,95,0,2020-03-02,2020-03-02,2020,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,96,1,2020-03-03,2020-03-04,2020,Train,2,0.0070103298945448644,True,0转+1持有,2,0.0070103298945448644,True
仅零段反转（0→-1/0→+1）,97,0,2020-03-05,2020-03-13,2020,Train,7,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,98,-1,2020-03-16,2020-03-25,2020,Train,8,0.05707282537791325,True,基础-1,0,0.05707282537791325,True
仅零段反转（0→-1/0→+1）,99,1,2020-03-26,2020-03-31,2020,Train,4,-0.029071058392499016,True,0转+1持有,4,-0.029071058392499016,True
仅零段反转（0→-1/0→+1）,100,0,2020-04-01,2020-04-01,2020,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,101,-1,2020-04-02,2020-04-02,2020,Train,1,-0.02898648606610066,True,0转-1持有,1,-0.02898648606610066,True
仅零段反转（0→-1/0→+1）,102,0,2020-04-03,2020-04-23,2020,Train,14,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,103,-1,2020-04-24,2020-04-27,2020,Train,2,0.015431001376227216,True,0转-1持有,2,0.015431001376227216,True
仅零段反转（0→-1/0→+1）,104,0,2020-04-28,2020-05-07,2020,Train,5,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,105,1,2020-05-08,2020-05-21,2020,Train,10,-0.009515607184077512,True,基础+1,0,-0.009515607184077512,True
仅零段反转（0→-1/0→+1）,106,0,2020-05-22,2020-06-04,2020,Train,10,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,107,-1,2020-06-05,2020-06-08,2020,Train,2,0.0005015074313424739,True,0转-1持有,2,0.0005015074313424739,True
仅零段反转（0→-1/0→+1）,108,0,2020-06-09,2020-06-10,2020,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,109,1,2020-06-11,2020-06-23,2020,Train,9,0.03395677481314563,True,基础+1,0,0.03395677481314563,True
仅零段反转（0→-1/0→+1）,110,-1,2020-06-24,2020-06-24,2020,Train,1,0.005867275948987505,True,0转-1持有,1,0.005867275948987505,True
仅零段反转（0→-1/0→+1）,111,0,2020-06-29,2020-06-29,2020,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,112,1,2020-06-30,2020-07-16,2020,Train,13,0.09257258583557249,True,0转+1持有；基础+1,4,0.09257258583557249,True
仅零段反转（0→-1/0→+1）,113,0,2020-07-17,2020-07-17,2020,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,114,-1,2020-07-20,2020-07-22,2020,Train,3,-0.022224060596933937,True,0转-1持有,3,-0.022224060596933937,True
仅零段反转（0→-1/0→+1）,115,0,2020-07-23,2020-07-29,2020,Train,5,0.0,True,基础0；零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,116,1,2020-07-30,2020-07-31,2020,Train,2,0.013387931940572084,True,0转+1持有,2,0.013387931940572084,True
仅零段反转（0→-1/0→+1）,117,0,2020-08-03,2020-08-10,2020,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,118,-1,2020-08-11,2020-08-12,2020,Train,2,0.026163250735457555,True,0转-1持有,2,0.026163250735457555,True
仅零段反转（0→-1/0→+1）,119,0,2020-08-13,2020-08-17,2020,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,120,1,2020-08-18,2020-08-21,2020,Train,4,-0.011657925344627618,True,0转+1持有,4,-0.011657925344627618,True
仅零段反转（0→-1/0→+1）,121,0,2020-08-24,2020-08-25,2020,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,122,1,2020-08-26,2020-08-26,2020,Train,1,-0.01688800259952372,True,0转+1持有,1,-0.01688800259952372,True
