date,three_state,minus_exit_signal,plus_exit_signal,nonzero_final_three_state,close,o2o_h1,phase
2022-03-21,0,0,0,0,6358.943,0.00044814661370007336,Development
2022-03-22,0,0,0,0,6358.1093,0.003927262734352954,Development
2022-03-23,0,0,0,0,6398.1009,0.0004174418196742913,Development
2022-03-24,0,0,0,0,6344.115,-0.0038079595716256076,Development
2022-03-25,0,0,0,0,6268.2376,-0.0183700671651863,Development
2022-03-28,0,0,0,0,6283.2814,0.009527021874422337,Development
2022-03-29,0,0,0,0,6253.0692,-0.00277827614117776,Development
2022-03-30,0,0,0,0,6377.8744,0.014206293981074758,Development
2022-03-31,0,0,0,0,6324.9609,-0.011273767023696979,Development
2022-04-01,0,0,0,0,6364.5206,0.011704155728933907,Development
2022-04-06,0,0,0,0,6356.9271,-0.006473893926168817,Development
2022-04-07,0,0,0,0,6221.5908,-0.014966191795177108,Development
2022-04-08,0,0,0,0,6224.1167,-0.004042365654444269,Development
2022-04-11,0,0,0,0,6029.8935,-0.02940155361575114,Development
2022-04-12,0,0,0,0,6126.9065,0.012460974835263094,Development
2022-04-13,0,0,0,0,6044.3263,-0.003371839838469004,Development
2022-04-14,0,0,0,0,6126.4902,0.0032906253536511,Development
2022-04-15,0,0,0,0,6070.7489,-0.012239893002468527,Development
2022-04-18,0,0,0,0,6074.0069,0.007965571401291172,Development
2022-04-19,-1,0,0,-1,6092.3963,0.0025270295515624763,Development
2022-04-20,-1,0,0,-1,5956.9208,-0.02449912887331951,Development
2022-04-21,-1,0,0,-1,5759.8013,-0.03464828524561858,Development
2022-04-22,-1,0,0,-1,5740.9844,-0.01253433674458948,Development
2022-04-25,-1,0,0,-1,5369.7171,-0.04987967687328143,Development
2022-04-26,-1,1,0,0,5234.0059,-0.036325724638139545,Development
2022-04-27,-1,1,0,0,5437.0374,0.04245450466594036,Development
2022-04-28,-1,1,0,0,5418.7641,0.011115273889926058,Development
2022-04-29,0,0,0,0,5627.9021,0.02813412761577183,Development
2022-05-05,0,0,0,0,5686.7023,-0.009179622814546429,Development
2022-05-06,0,0,0,0,5563.7693,-0.0015285446845498818,Development
2022-05-09,0,0,0,0,5608.5162,-0.0035795744874592694,Development
2022-05-10,0,0,0,0,5690.0868,0.029792375559549278,Development
2022-05-11,0,0,0,0,5737.8173,0.0017773805147984767,Development
2022-05-12,0,0,0,0,5743.1007,0.010120146173250744,Development
2022-05-13,0,0,0,0,5796.8014,0.012995954498392637,Development
2022-05-16,0,0,0,0,5791.0809,-0.008617329792613204,Development
2022-05-17,0,0,0,0,5816.3379,0.004436938520538503,Development
2022-05-18,0,0,0,0,5797.4896,-0.018365173756980657,Development
2022-05-19,0,0,0,0,5838.4074,0.02543676162029551,Development
2022-05-20,0,0,0,0,5929.4882,0.01488349703297609,Development
2022-05-23,0,0,0,0,5965.7277,0.0035357847519623675,Development
2022-05-24,0,0,0,0,5745.6751,-0.037052748498997534,Development
2022-05-25,0,0,0,0,5844.2546,0.018600719831211032,Development
2022-05-26,0,0,0,0,5911.5607,0.012535118902260889,Development
2022-05-27,0,0,0,0,5899.915,-0.00052162253503929,Development
2022-05-30,1,0,0,1,5942.8317,0.003739201038875928,Development
2022-05-31,1,0,0,1,6026.2373,0.011510978671976924,Development
2022-06-01,1,0,0,1,6023.644,-0.0013537420308534776,Development
2022-06-02,1,0,0,1,6078.4349,0.013209940256816433,Development
2022-06-06,1,0,0,1,6187.4441,0.017548258393159877,Development
2022-06-07,1,0,0,1,6186.5672,-0.0002612753469737328,Development
2022-06-08,1,0,0,1,6217.8276,0.0036809936568067414,Development
2022-06-09,1,0,0,1,6130.6862,-0.020011559141967505,Development
2022-06-10,1,0,0,1,6240.1032,0.01730329324024593,Development
2022-06-13,1,0,0,1,6233.6194,-0.004386302890293736,Development
2022-06-14,1,0,0,1,6275.5652,0.018461233496770202,Development
2022-06-15,1,0,0,1,6261.0613,-0.0020849285909926296,Development
2022-06-16,1,0,1,0,6264.822,-0.006659531786717299,Development
2022-06-17,1,0,1,0,6316.3092,0.016529414798278186,Development
2022-06-20,1,0,1,0,6330.3942,0.0002268872258679444,Development
2022-06-21,1,0,0,1,6277.0014,-0.0067943689647194105,Development
2022-06-22,1,0,0,1,6179.57,-0.015103805441795903,Development
2022-06-23,0,0,0,0,6300.4746,0.019369993514290584,Development
2022-06-24,0,0,0,0,6368.2827,0.014512935105740254,Development
2022-06-27,0,0,0,0,6407.7447,0.002200626548092055,Development
2022-06-28,0,0,0,0,6501.352,0.010406366375357967,Development
2022-06-29,1,0,0,1,6374.2974,-0.014501193378127275,Development
2022-06-30,1,0,0,1,6454.0778,0.010263695918124593,Development
2022-07-01,1,0,0,1,6438.5375,-0.0008798666276097489,Development
2022-07-04,1,0,0,1,6523.1311,0.014023064992917389,Development
2022-07-05,1,0,1,0,6511.5297,-0.0071048771620972895,Development
2022-07-06,1,0,1,0,6418.5453,-0.011498252733266767,Development
2022-07-07,1,0,1,0,6452.9863,0.009959266235047837,Development
2022-07-08,0,0,0,0,6404.4393,-0.014022494296373922,Development
2022-07-11,0,0,0,0,6319.1402,-0.010891859446931385,Development
2022-07-12,0,0,0,0,6241.4793,-0.012535506185217482,Development
2022-07-13,0,0,0,0,6268.4943,0.004615078608852574,Development
2022-07-14,0,0,0,0,6302.4319,0.001947260301413678,Development
2022-07-15,0,0,0,0,6196.7999,-0.01012423139554297,Development
2022-07-18,-1,0,0,-1,6312.3557,0.016527646483410763,Development
2022-07-19,-1,0,0,-1,6335.7093,0.005406975742198616,Development
2022-07-20,-1,0,0,-1,6410.7088,0.0074079926074646085,Development
2022-07-21,-1,0,0,-1,6347.5984,-0.007209519289183675,Development
2022-07-22,-1,0,0,-1,6289.5325,-0.008943322856816205,Development
2022-07-25,0,0,0,0,6231.2355,-0.009193232535074314,Development
2022-07-26,0,0,0,0,6307.956,0.010001187971141468,Development
2022-07-27,0,0,0,0,6332.2327,0.009468154344026702,Development
2022-07-28,0,0,0,0,6348.1655,-0.0007470989021709507,Development
2022-07-29,0,0,0,0,6294.1144,-0.009932682667076809,Development
2022-08-01,0,0,0,0,6347.2211,-0.0007590035318206789,Development
2022-08-02,0,0,0,0,6169.9961,-0.018603358607401477,Development
2022-08-03,0,0,0,0,6124.3146,-0.0018035467267800698,Development
2022-08-04,-1,0,0,-1,6158.7346,0.0024339149584031716,Development
2022-08-05,-1,0,0,-1,6270.5113,0.01474975105176024,Development
2022-08-08,-1,0,0,-1,6323.0746,0.00758581177289841,Development
2022-08-09,-1,0,0,-1,6341.4806,0.0027412597539766548,Development
2022-08-10,-1,0,0,-1,6322.0558,0.0028561081524156595,Development
2022-08-11,0,0,0,0,6439.3586,0.01190867728858036,Development
2022-08-12,0,0,0,0,6420.853,-0.0030183606811911012,Development
2022-08-15,1,0,0,1,6442.8093,0.0064073234332286955,Development
2022-08-16,1,0,0,1,6465.1866,0.004109381822224867,Development
2022-08-17,1,0,0,1,6493.5047,0.00125405271532264,Development
2022-08-18,1,0,0,1,6468.8056,-0.0019358714632324858,Development
2022-08-19,1,0,0,1,6391.7159,-0.01352388153808426,Development
2022-08-22,1,0,0,1,6472.6799,0.012353503136653066,Development
2022-08-23,1,0,0,1,6466.4045,0.0016276347829522475,Development
2022-08-24,1,0,0,1,6284.5769,-0.025892446278960368,Development
2022-08-25,1,0,0,1,6322.6961,0.004431835570325227,Development
2022-08-26,0,0,0,0,6298.3739,-0.018587258190902345,Development
2022-08-29,0,0,0,0,6310.402,0.015479041303237073,Development
2022-08-30,0,0,0,0,6285.9273,-0.006971257401305886,Development
2022-08-31,0,0,0,0,6155.7455,-0.017924303865616276,Development
2022-09-01,0,0,0,0,6126.7685,-0.0029238519184950906,Development
2022-09-02,0,0,0,0,6149.4273,0.0020228038886536126,Development
2022-09-05,0,0,0,0,6182.6465,0.008260088941790977,Development
2022-09-06,0,0,0,0,6291.5707,0.01153576708431503,Development
2022-09-07,0,0,0,0,6301.5644,0.004771250791727466,Development
2022-09-08,0,0,0,0,6272.5752,-0.0038110087596850972,Development
2022-09-09,0,0,0,0,6316.9724,0.009395165740270661,Development
2022-09-13,0,0,0,0,6300.422,-0.018934748827712955,Development
2022-09-14,0,0,0,0,6249.963,0.01054468688445942,Development
2022-09-15,0,0,0,0,6107.7964,-0.0300976545265208,Development
2022-09-16,0,0,0,0,5954.5037,-0.023568053390511046,Development
2022-09-19,-1,0,0,-1,5913.1493,0.00024864419226244827,Development
2022-09-20,-1,0,0,-1,5958.2922,-0.001049192804809862,Development
2022-09-21,-1,0,0,-1,5978.581,-0.0008404040757561404,Development
2022-09-22,-1,0,0,-1,5965.8854,0.0038669952095273796,Development
2022-09-23,-1,0,0,-1,5889.6019,-0.02004404752408606,Development
2022-09-26,-1,1,0,0,5806.3181,-0.003086477819168487,Development
2022-09-27,-1,1,0,0,5920.0531,0.014853763199127457,Development
2022-09-28,-1,1,0,0,5769.5198,-0.014682956795589619,Development
2022-09-29,0,0,0,0,5771.8812,-0.010152418767152227,Development
2022-09-30,0,0,0,0,5714.0629,-0.00596745183042624,Development
2022-10-10,0,0,0,0,5635.7109,-0.015232013069739092,Development
2022-10-11,0,0,0,0,5684.5063,0.006714247288926556,Development
2022-10-12,0,0,0,0,5820.4537,0.01924117857163421,Development
2022-10-13,0,0,0,0,5830.3355,0.013333785864146463,Development
2022-10-14,0,0,0,0,5973.4389,0.014576965040800305,Development
2022-10-17,0,0,0,0,6015.5963,0.013216041092537045,Development
2022-10-18,0,0,0,0,6035.6737,-0.001533232952752539,Development
2022-10-19,0,0,0,0,5972.7226,-0.013006625925802928,Development
2022-10-20,0,0,0,0,5948.8621,0.0026467168618664605,Development
2022-10-21,0,0,0,0,5956.8811,0.0015663660237767996,Development
2022-10-24,0,0,0,0,5896.9031,-0.01751127917896589,Development
2022-10-25,0,0,0,0,5869.781,0.0012026551933637109,Development
2022-10-26,0,0,0,0,5971.6009,0.01826026034438355,Development
2022-10-27,0,0,0,0,5963.0037,-0.00927781174422826,Development
2022-10-28,0,0,0,0,5781.7972,-0.030009644224668564,Development
2022-10-31,0,0,0,0,5807.1063,0.01203416295020987,Development
2022-11-01,0,0,0,0,5941.1451,0.019166130566762085,Development
2022-11-02,0,0,0,0,5997.8038,0.0031828740228836416,Development
2022-11-03,0,0,0,0,5996.7187,0.008712911207471086,Development
2022-11-04,0,0,0,0,6133.4629,0.022836311839620427,Development
2022-11-07,0,0,0,0,6141.4088,0.001084467784224108,Development
2022-11-08,0,0,0,0,6134.2564,0.00010610938938282466,Development
2022-11-09,0,0,0,0,6120.8286,-0.008998701205790938,Development
