date,open,high,low,close,volume,amount,prev_close,next_execution_date
2023-02-02,6383.298,6402.2639,6347.7289,6370.1411,14929281100.0,166213113911.5,6365.9051,2023-02-03
2023-02-03,6354.7135,6354.7135,6267.4377,6343.6861,12150718200.0,138714379584.2,6370.1411,2023-02-06
2023-02-06,6314.5995,6330.7929,6274.5427,6302.3349,10848530800.0,127652063425.2,6343.6861,2023-02-07
2023-02-07,6309.2209,6318.8407,6273.5954,6317.2377,10966268300.0,125078065034.8,6302.3349,2023-02-08
2023-02-08,6319.5164,6323.8492,6263.7627,6268.2759,10599489500.0,116986269907.4,6317.2377,2023-02-09
2023-02-09,6256.3124,6354.8028,6250.4545,6354.562,10903111900.0,129044254163.8,6268.2759,2023-02-10
2023-02-10,6348.9994,6368.4882,6296.5476,6334.252,12010082900.0,134994907399.5,6354.562,2023-02-13
2023-02-13,6333.2194,6386.7243,6331.3687,6383.8279,13156622700.0,151374560994.8,6334.252,2023-02-14
2023-02-14,6394.6196,6408.5508,6369.5727,6397.2146,12467438900.0,143967118961.2,6383.8279,2023-02-15
2023-02-15,6398.8735,6407.753,6365.3107,6384.3479,11590702200.0,143472324421.4,6397.2146,2023-02-16
2023-02-16,6384.2145,6429.0531,6244.4787,6289.4786,16838841600.0,190791364474.4,6384.3479,2023-02-17
2023-02-17,6284.9225,6308.568,6237.4053,6237.4053,11721098500.0,143422448167.7,6289.4786,2023-02-20
2023-02-20,6248.2555,6349.4074,6227.3489,6346.0678,14033407500.0,157289265128.8,6237.4053,2023-02-21
2023-02-21,6349.9071,6396.742,6337.5976,6383.4248,14182471400.0,153705795821.1,6346.0678,2023-02-22
2023-02-22,6352.0275,6397.1452,6344.9861,6375.0684,10908302900.0,128341320025.0,6383.4248,2023-02-23
2023-02-23,6377.2925,6396.6563,6328.644,6360.3202,11606465400.0,135992246881.1,6375.0684,2023-02-24
2023-02-24,6367.6311,6372.4918,6308.2213,6340.8435,9695728100.0,119877925583.4,6360.3202,2023-02-27
2023-02-27,6318.6393,6349.091,6288.2994,6307.2057,10108273800.0,124887490151.6,6340.8435,2023-02-28
2023-02-28,6323.8417,6357.5352,6293.1792,6357.5352,9660316300.0,119094834715.1,6307.2057,2023-03-01
2023-03-01,6356.5035,6410.5217,6340.0045,6402.1411,12390763900.0,144327640100.9,6357.5352,2023-03-02
2023-03-02,6398.2563,6410.2306,6375.0068,6382.2322,12534929700.0,147597102774.1,6402.1411,2023-03-03
2023-03-03,6384.0636,6398.4707,6346.9593,6390.3177,12323477500.0,140273359354.4,6382.2322,2023-03-06
2023-03-06,6398.1023,6405.8199,6362.4723,6395.2191,12684563400.0,155123686031.2,6390.3177,2023-03-07
2023-03-07,6389.8109,6396.5414,6284.2198,6284.2986,13792886900.0,149308292189.0,6395.2191,2023-03-08
2023-03-08,6264.4315,6303.7106,6258.3174,6301.5157,9869835700.0,114463801002.9,6284.2986,2023-03-09
2023-03-09,6311.0424,6311.3353,6258.4498,6285.9521,9268891400.0,111866575503.5,6301.5157,2023-03-10
2023-03-10,6251.56,6261.3301,6202.6117,6204.8989,10805229000.0,129144574718.6,6285.9521,2023-03-13
2023-03-13,6189.9761,6245.0029,6178.672,6245.0029,10800655200.0,132474098352.3,6204.8989,2023-03-14
2023-03-14,6237.7306,6243.4184,6127.6878,6189.3969,12120014500.0,149977754662.0,6245.0029,2023-03-15
2023-03-15,6210.928,6254.4857,6210.928,6224.64,11294852800.0,129455795140.3,6189.3969,2023-03-16
2023-03-16,6191.2955,6209.9732,6133.8328,6140.8317,12763268500.0,143759016862.1,6224.64,2023-03-17
2023-03-17,6174.1919,6233.7534,6169.8441,6183.1843,13710833400.0,157222487365.1,6140.8317,2023-03-20
2023-03-20,6195.3506,6201.9742,6152.8083,6160.3541,14558089100.0,167826184366.7,6183.1843,2023-03-21
2023-03-21,6171.8856,6235.0064,6171.2834,6234.6793,12302533100.0,144174739305.4,6160.3541,2023-03-22
2023-03-22,6244.3623,6271.5228,6242.157,6269.7384,12826638600.0,149867921197.4,6234.6793,2023-03-23
2023-03-23,6253.5774,6305.7585,6245.9826,6305.7585,12917964800.0,164124553074.5,6269.7384,2023-03-24
2023-03-24,6312.4308,6315.6795,6279.5407,6310.0979,14102098900.0,179449338405.6,6305.7585,2023-03-27
2023-03-27,6304.4792,6320.6622,6265.0053,6311.5998,14466486300.0,184209306469.8,6310.0979,2023-03-28
2023-03-28,6314.5821,6331.5584,6272.7168,6279.9217,13915610400.0,174935282609.8,6311.5998,2023-03-29
2023-03-29,6285.9539,6294.2951,6239.9373,6260.551,13154828400.0,166565424024.2,6279.9217,2023-03-30
2023-03-30,6257.6398,6287.4396,6213.9745,6286.1773,12321859900.0,155158644767.8,6260.551,2023-03-31
2023-03-31,6284.8522,6343.2299,6282.1402,6339.8183,12948983500.0,164138969077.5,6286.1773,2023-04-03
2023-04-03,6346.6925,6419.8686,6346.6925,6413.8073,16392104800.0,215330527397.2,6339.8183,2023-04-04
2023-04-04,6414.8177,6423.3058,6377.5322,6408.8994,15749175500.0,218740913531.4,6413.8073,2023-04-06
2023-04-06,6387.2289,6428.7215,6382.0333,6416.8456,14406444800.0,207002794759.6,6408.8994,2023-04-07
2023-04-07,6418.2601,6470.0888,6416.6812,6464.4664,12796462500.0,177737436540.0,6416.8456,2023-04-10
2023-04-10,6474.9415,6476.2165,6395.3745,6410.5218,14513418700.0,203397862936.4,6464.4664,2023-04-11
2023-04-11,6405.6279,6421.4857,6381.0566,6420.877,14239910900.0,188800337843.3,6410.5218,2023-04-12
2023-04-12,6415.7038,6450.3488,6407.1996,6443.4391,14944795600.0,188164796583.5,6420.877,2023-04-13
2023-04-13,6438.1638,6451.7864,6396.0167,6404.6463,15619957300.0,196031015021.2,6443.4391,2023-04-14
2023-04-14,6420.3118,6444.886,6390.9182,6431.0688,14530066800.0,190743030851.0,6404.6463,2023-04-17
2023-04-17,6422.8669,6459.2396,6421.3936,6459.2396,16882307900.0,196752268308.1,6431.0688,2023-04-18
2023-04-18,6448.7565,6462.2489,6422.053,6449.8531,14347134100.0,184598154225.6,6459.2396,2023-04-19
2023-04-19,6444.8726,6456.1491,6404.9942,6416.9696,14869977400.0,192403574162.7,6449.8531,2023-04-20
2023-04-20,6408.8077,6413.0794,6376.3489,6411.7564,15050129400.0,196199845238.5,6416.9696,2023-04-21
2023-04-21,6411.5137,6411.5137,6250.5446,6250.5446,16231329700.0,210802112228.2,6411.7564,2023-04-24
2023-04-24,6250.9635,6260.5395,6184.7122,6208.7797,14769484500.0,191204975164.8,6250.5446,2023-04-25
2023-04-25,6205.6184,6208.4027,6042.6423,6118.1526,16245927700.0,200847244830.6,6208.7797,2023-04-26
2023-04-26,6095.1335,6178.1675,6093.1976,6142.1541,15216635400.0,197699832955.3,6118.1526,2023-04-27
2023-04-27,6127.6444,6190.2503,6121.6098,6157.936,14313611600.0,179308956550.4,6142.1541,2023-04-28
2023-04-28,6151.6433,6245.55,6151.6433,6241.2441,16787648200.0,199335712325.8,6157.936,2023-05-04
2023-05-04,6223.2261,6264.5158,6218.7822,6262.3891,20248797000.0,215098748101.1,6241.2441,2023-05-05
2023-05-05,6255.7044,6256.2287,6172.6931,6200.5759,17826101700.0,192217857467.7,6262.3891,2023-05-08
2023-05-08,6202.6787,6259.6869,6200.1467,6248.5828,20271825500.0,198162493586.1,6200.5759,2023-05-09
2023-05-09,6242.6615,6274.898,6177.6544,6181.9757,22438946700.0,215437054342.0,6248.5828,2023-05-10
2023-05-10,6167.1346,6199.1609,6137.1536,6173.8093,17545372700.0,180485291578.1,6181.9757,2023-05-11
2023-05-11,6185.6686,6190.3906,6151.0696,6154.4703,14606494600.0,152275213604.4,6173.8093,2023-05-12
2023-05-12,6138.9404,6173.9124,6088.2239,6091.6464,14041066400.0,142316419328.4,6154.4703,2023-05-15
2023-05-15,6094.6758,6159.3888,6036.8139,6159.3888,14984358300.0,159620224620.0,6091.6464,2023-05-16
2023-05-16,6159.1693,6159.1693,6095.6879,6110.8271,12184111600.0,142447474647.0,6159.3888,2023-05-17
2023-05-17,6097.9771,6137.0165,6090.8823,6122.0518,10726634900.0,125585549046.7,6110.8271,2023-05-18
2023-05-18,6132.5182,6153.992,6101.2437,6128.1762,12294211100.0,144557618052.5,6122.0518,2023-05-19
2023-05-19,6116.8432,6149.1426,6085.0442,6117.0833,11930489600.0,147524516028.4,6128.1762,2023-05-22
2023-05-22,6111.8445,6136.8627,6086.233,6115.3151,11271568200.0,126363418363.6,6117.0833,2023-05-23
2023-05-23,6114.2135,6117.3597,6052.4297,6052.4297,11110424400.0,120628486661.7,6115.3151,2023-05-24
2023-05-24,6032.689,6058.3946,5988.0278,6005.7913,10722341400.0,116914166402.6,6052.4297,2023-05-25
2023-05-25,6000.2187,6028.6386,5926.2038,5988.1885,10992283200.0,126769237204.5,6005.7913,2023-05-26
2023-05-26,5983.1367,6045.1292,5953.8807,6034.9834,10638158800.0,123263014837.6,5988.1885,2023-05-29
2023-05-29,6046.5431,6058.9211,6012.4012,6025.1552,12513941700.0,146808330637.6,6034.9834,2023-05-30
2023-05-30,6008.4621,6061.3089,5960.3372,6061.3089,12731201700.0,151849134859.6,6025.1552,2023-05-31
2023-05-31,6044.02,6063.1925,6009.2476,6047.8021,11747610600.0,144653727477.5,6061.3089,2023-06-01
2023-06-01,6028.8032,6094.2403,6008.2705,6051.4603,12625031500.0,154907281920.7,6047.8021,2023-06-02
2023-06-02,6061.911,6115.0679,6061.911,6105.2181,12230673800.0,142073539923.0,6051.4603,2023-06-05
2023-06-05,6102.1295,6107.1211,6075.5921,6097.1059,11574795300.0,131118706647.8,6105.2181,2023-06-06
2023-06-06,6088.6625,6089.0746,5969.2945,5983.4202,12304538700.0,133636232835.4,6097.1059,2023-06-07
2023-06-07,5982.3085,6010.0304,5969.1593,5987.011,9359789200.0,113593743557.7,5983.4202,2023-06-08
2023-06-08,5971.7247,5992.9692,5922.3872,5966.1477,10898163200.0,124387889683.3,5987.011,2023-06-09
2023-06-09,5968.7001,6017.2812,5960.106,6009.5826,12755343200.0,158760400688.5,5966.1477,2023-06-12
2023-06-12,5999.6174,6045.6593,5987.2682,6027.7122,11361247100.0,151203107291.2,6009.5826,2023-06-13
2023-06-13,6016.6857,6047.06,6014.0625,6044.0371,9868029800.0,134425849549.1,6027.7122,2023-06-14
2023-06-14,6046.4375,6064.2896,6034.4718,6044.0766,10968902100.0,148046160093.7,6044.0371,2023-06-15
2023-06-15,6049.4683,6100.2336,6046.1621,6096.8075,11841773400.0,165700035083.1,6044.0766,2023-06-16
2023-06-16,6094.8437,6154.9321,6091.1847,6148.0125,11534956800.0,165690149218.5,6096.8075,2023-06-19
2023-06-19,6148.8548,6148.8548,6126.3881,6131.3849,11378720900.0,164780447140.9,6148.0125,2023-06-20
2023-06-20,6122.7448,6144.0071,6100.1435,6126.1133,10663083200.0,161419763306.8,6131.3849,2023-06-21
2023-06-21,6104.2468,6104.2468,5990.7866,5990.8455,10644776600.0,154200972220.3,6126.1133,2023-06-26
2023-06-26,5947.57,5970.6114,5875.9378,5887.0324,11108179100.0,148203624502.1,5990.8455,2023-06-27
