series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,aligned_segment_return,is_directional
Raw 1545,109,0,2024-03-08,2024-04-30,2024,Val,36,0.0,True,0.0,False
Raw 1545,110,1,2024-05-06,2024-05-15,2024,Val,8,-0.006492204258613521,True,-0.006492204258613521,True
Raw 1545,111,0,2024-05-16,2024-05-30,2024,Val,11,0.0,True,0.0,False
Raw 1545,112,-1,2024-05-31,2024-06-06,2024,Val,5,0.011879266013087864,True,0.011879266013087864,True
Raw 1545,113,0,2024-06-07,2024-06-25,2024,Val,12,0.0,True,0.0,False
Raw 1545,114,-1,2024-06-26,2024-07-02,2024,Val,5,-0.0010079737225565655,True,-0.0010079737225565655,True
Raw 1545,115,0,2024-07-03,2024-07-04,2024,Val,2,0.0,True,0.0,False
Raw 1545,116,-1,2024-07-05,2024-07-12,2024,Val,6,-0.01571471105065403,True,-0.01571471105065403,True
Raw 1545,117,0,2024-07-15,2024-09-25,2024,Val,51,0.0,True,0.0,False
Raw 1545,118,1,2024-09-26,2024-10-16,2024,Val,10,0.17536914943191484,True,0.17536914943191484,True
Raw 1545,119,0,2024-10-17,2024-10-23,2024,Val,5,0.0,True,0.0,False
Raw 1545,120,1,2024-10-24,2024-11-04,2024,Val,8,0.031178290513589668,True,0.031178290513589668,True
Raw 1545,121,0,2024-11-05,2024-11-06,2024,Val,2,0.0,True,0.0,False
Raw 1545,122,1,2024-11-07,2024-11-13,2024,Val,5,0.030404779311051233,True,0.030404779311051233,True
Raw 1545,123,0,2024-11-14,2025-02-07,2024,Val,55,0.0,True,0.0,False
Raw 1545,124,1,2025-02-10,2025-03-24,2025,Test,31,0.02085161694673232,True,0.02085161694673232,True
Raw 1545,125,0,2025-03-25,2025-06-27,2025,Test,64,0.0,True,0.0,False
Raw 1545,126,1,2025-06-30,2025-08-01,2025,Test,25,0.05244981753618849,True,0.05244981753618849,True
Raw 1545,127,0,2025-08-04,2025-08-18,2025,Test,11,0.0,True,0.0,False
Raw 1545,128,1,2025-08-19,2025-09-03,2025,Test,12,0.033958453228757235,True,0.033958453228757235,True
Raw 1545,129,0,2025-09-04,2025-11-21,2025,Test,51,0.0,True,0.0,False
Raw 1545,130,-1,2025-11-24,2025-12-01,2025,Test,6,-0.0329014121498471,True,-0.0329014121498471,True
Raw 1545,131,0,2025-12-02,2025-12-24,2025,Test,17,0.0,True,0.0,False
Raw 1545,132,1,2025-12-25,2026-01-27,2025,Test,22,0.15640337669705895,True,0.15640337669705895,True
Raw 1545,133,0,2026-01-28,2026-03-16,2026,Test,28,0.0,True,0.0,False
Raw 1545,134,-1,2026-03-17,2026-03-25,2026,Test,7,0.05438143491421432,True,0.05438143491421432,True
Raw 1545,135,0,2026-03-26,2026-03-27,2026,Test,2,0.0,True,0.0,False
Raw 1545,136,-1,2026-03-30,2026-04-03,2026,Test,5,0.012030809257472685,True,0.012030809257472685,True
Raw 1545,137,0,2026-04-07,2026-04-21,2026,Test,11,0.0,True,0.0,False
Raw 1545,138,1,2026-04-22,2026-05-18,2026,Test,16,0.037828383425724255,True,0.037828383425724255,True
Raw 1545,139,0,2026-05-19,2026-06-05,2026,Test,14,0.0,True,0.0,False
Raw 1545,140,-1,2026-06-08,2026-06-12,2026,Test,5,-0.02461927314649781,True,-0.02461927314649781,True
Raw 1545,141,0,2026-06-15,2026-06-24,2026,Test,7,0.0,True,0.0,False
Raw 1545,142,1,2026-06-25,2026-07-07,2026,Test,9,-0.033891486855025965,True,-0.033891486855025965,True
Raw 1545,143,0,2026-07-08,2026-07-13,2026,Test,4,0.0,True,0.0,False
Raw 1545,144,-1,2026-07-14,2026-07-22,2026,Test,7,0.04569130110722497,True,0.04569130110722497,True
Raw 1545,145,0,2026-07-23,2026-07-24,2026,Test,2,0.0,True,0.0,False
Raw 1545,146,-1,2026-07-27,2026-08-03,2026,Test,6,0.005713379568566546,True,0.005713379568566546,True
Raw 1545,147,0,2026-08-04,2026-08-18,2026,Test,11,0.0,False,0.0,False
Adj 1545,1,0,2018-01-03,2018-01-15,2018,Train,9,0.0,True,0.0,False
Adj 1545,2,-1,2018-01-16,2018-01-23,2018,Train,6,-0.01730315224805079,True,-0.01730315224805079,True
Adj 1545,3,0,2018-01-24,2018-02-01,2018,Train,7,0.0,True,0.0,False
Adj 1545,4,-1,2018-02-02,2018-02-05,2018,Train,2,0.008647119851577845,True,0.008647119851577845,True
Adj 1545,5,0,2018-02-06,2018-02-08,2018,Train,3,0.0,True,0.0,False
Adj 1545,6,-1,2018-02-09,2018-02-22,2018,Train,5,-0.0432439128816019,True,-0.0432439128816019,True
Adj 1545,7,1,2018-02-23,2018-02-28,2018,Train,4,0.018707519134140926,True,0.018707519134140926,True
Adj 1545,8,0,2018-03-01,2018-03-05,2018,Train,3,0.0,True,0.0,False
Adj 1545,9,-1,2018-03-06,2018-03-07,2018,Train,2,0.000516906738970091,True,0.000516906738970091,True
Adj 1545,10,1,2018-03-08,2018-03-13,2018,Train,4,0.026341505542573307,True,0.026341505542573307,True
Adj 1545,11,0,2018-03-14,2018-03-14,2018,Train,1,0.0,True,0.0,False
Adj 1545,12,1,2018-03-15,2018-03-16,2018,Train,2,-0.004905249860305716,True,-0.004905249860305716,True
Adj 1545,13,0,2018-03-19,2018-03-21,2018,Train,3,0.0,True,0.0,False
Adj 1545,14,-1,2018-03-22,2018-03-26,2018,Train,3,0.026686574505412564,True,0.026686574505412564,True
Adj 1545,15,0,2018-03-27,2018-03-29,2018,Train,3,0.0,True,0.0,False
Adj 1545,16,-1,2018-03-30,2018-04-02,2018,Train,2,0.00198741434537808,True,0.00198741434537808,True
