形成日,实际执行日,三状态,state_strength,state_phase,fast_engine,slow_engine,direction_score,direction_score_continuous,direction_score_band,risk_high_count,-1转0_score,-1转0_冻结阈值,-1转0_距阈值,+1转0_score,+1转0_冻结阈值,+1转0_距阈值,0转-1_score,0转-1_冻结阈值,0转-1_距阈值,0转-1_释放阈值,0转-1_距释放阈值,0转-1_事件信号,0转+1_score,0转+1_冻结阈值,0转+1_距阈值,0转+1_释放阈值,0转+1_距释放阈值,0转+1_事件信号,大涨_score,大涨_冻结阈值,大涨_距阈值,大涨_预测,大跌_score,大跌_冻结阈值,大跌_距阈值,大跌_预测
2022-05-27,2022-05-30,1,0.5072751322751324,entry,0.6378968253968254,0.8125,0.7871527777777777,0.7709325396825397,0.825,1.0,0.208217901097534,0.815842643776842,-0.607624742679308,0.3638313741182153,0.4920211306764882,-0.1281897565582729,-0.9430990414838012,1.2294466376933055,-2.172545679177107,0.6645986031220402,-1.6076976446058415,0,-4.6980676328502415,4.671980676328502,-9.370048309178744,4.606280193236715,-9.304347826086955,0,0.384837533450693,0.8135114753699175,-0.4286739419192245,0,0.6427182567979852,0.6832148298881413,-0.040496573090156,0
2022-05-30,2022-05-31,1,0.0,entry,0.7817460317460317,0.7708333333333333,0.7825,0.7910714285714285,0.7625,1.0,0.3951584037477831,0.815842643776842,-0.4206842400290589,0.3734648446479239,0.4920211306764882,-0.1185562860285643,1.1939275323804848,1.2294466376933055,-0.0355191053128207,0.6645986031220402,0.5293289292584445,0,4.751207729468599,4.671980676328502,0.0792270531400971,4.606280193236715,0.1449275362318847,0,0.2729233901908325,0.8135114753699175,-0.540588085179085,0,0.6332826649727342,0.6832148298881413,-0.049932164915407,0
2022-05-31,2022-06-01,1,0.5672550629447182,continuation,0.7132936507936508,0.9345238095238096,0.8878472222222221,0.8719246031746032,0.925,1.0,0.588224499824715,0.815842643776842,-0.2276181439521269,0.3696997248273367,0.4920211306764882,-0.1223214058491515,-0.6566687268630739,1.2294466376933055,-1.8861153645563795,0.6645986031220402,-1.321267329985114,0,4.683574879227053,4.671980676328502,0.0115942028985509,4.606280193236715,0.0772946859903385,0,0.2936467022546735,0.8135114753699175,-0.519864773115244,0,0.5998021732708776,0.6832148298881413,-0.0834126566172637,0
2022-06-01,2022-06-02,1,0.0,continuation,0.7063492063492063,0.9186507936507936,0.8791666666666665,0.8595238095238095,0.925,0.0,0.7843393787510056,0.815842643776842,-0.0315032650258364,0.368730493337862,0.4920211306764882,-0.1232906373386262,0.8927300926129985,1.2294466376933055,-0.336716545080307,0.6645986031220402,0.2281314894909583,0,-4.71256038647343,4.671980676328502,-9.384541062801931,4.606280193236715,-9.318840579710145,0,0.3583565760329128,0.8135114753699175,-0.4551548993370047,0,0.6090250887703351,0.6832148298881413,-0.0741897411178061,0
2022-06-02,2022-06-06,1,0.0,pending_switch,0.6498015873015873,0.9365079365079364,0.8640972222222222,0.8540674603174603,0.8875,0.0,0.9834937736951928,0.815842643776842,0.1676511299183507,0.3750021011230699,0.4920211306764882,-0.1170190295534183,-0.8088385187079791,1.2294466376933055,-2.0382851564012845,0.6645986031220402,-1.4734371218300193,0,-4.722222222222222,4.671980676328502,-9.394202898550724,4.606280193236715,-9.328502415458937,0,0.3356185794186912,0.8135114753699175,-0.4778928959512263,0,0.5808572703369094,0.6832148298881413,-0.1023575595512319,0
2022-06-06,2022-06-07,1,0.6869868637110016,continuation,0.7956349206349207,0.9682539682539684,0.93125,0.9178571428571428,0.9625,0.0,1.1917116747927268,0.815842643776842,0.3758690310158847,0.3868079231832264,0.4920211306764882,-0.1052132074932618,-1.7114495360247015,1.2294466376933055,-2.940896173718007,0.6645986031220402,-2.3760481391467416,0,4.741545893719807,4.671980676328502,0.0695652173913048,4.606280193236715,0.1352657004830924,0,0.2216872120348507,0.8135114753699175,-0.5918242633350668,0,0.5983796552643715,0.6832148298881413,-0.0848351746237697,0
2022-06-07,2022-06-08,1,0.0,continuation,0.7430555555555556,0.9682539682539684,0.909236111111111,0.9024801587301589,0.925,0.0,1.3999295758902608,0.815842643776842,0.5840869321134188,0.3844385738260826,0.4920211306764882,-0.1075825568504056,0.76003267927639,1.2294466376933055,-0.4694139584169156,0.6645986031220402,0.0954340761543497,0,4.673913043478261,4.671980676328502,0.0019323671497586,4.606280193236715,0.0676328502415462,0,0.2547226418536431,0.8135114753699175,-0.5587888335162745,0,0.5892458390060311,0.6832148298881413,-0.0939689908821101,0
2022-06-08,2022-06-09,1,0.5912014230979749,continuation,0.7321428571428572,0.9742063492063492,0.9097222222222222,0.9031746031746032,0.925,0.0,1.6021142761836271,0.815842643776842,0.7862716324067851,0.3827555479994134,0.4920211306764882,-0.1092655826770748,-0.9432093603843498,1.2294466376933055,-2.1726559980776554,0.6645986031220402,-1.60780796350639,0,-4.6980676328502415,4.671980676328502,-9.370048309178744,4.606280193236715,-9.304347826086955,0,0.2374227718090298,0.8135114753699175,-0.5760887035608877,0,0.5802116755362661,0.6832148298881413,-0.1030031543518752,0
2022-06-09,2022-06-10,1,0.6726190476190477,continuation,0.748015873015873,0.8809523809523809,0.8529166666666665,0.8488095238095238,0.8625,0.0,1.75785099916652,0.815842643776842,0.942008355389678,0.4225804378424923,0.4920211306764882,-0.0694406928339959,-1.3980855261044276,1.2294466376933055,-2.627532163797733,0.6645986031220402,-2.0626841292264677,0,-4.669082125603865,4.671980676328502,-9.341062801932368,4.606280193236715,-9.275362318840578,0,0.4485316628182686,0.8135114753699175,-0.3649798125516489,0,0.527889328438504,0.6832148298881413,-0.1553255014496373,0
2022-06-10,2022-06-13,1,0.3188775510204081,continuation,0.6140873015873016,0.9652777777777776,0.8695138888888888,0.8618055555555555,0.8875,0.0,1.9104131163086404,0.815842643776842,1.0945704725317984,0.4570515160202297,0.4920211306764882,-0.0349696146562585,-1.3057202276942907,1.2294466376933055,-2.5351668653875965,0.6645986031220402,-1.970318830816331,0,4.7270531400966185,4.671980676328502,0.0550724637681163,4.606280193236715,0.1207729468599039,0,0.249277899649644,0.8135114753699175,-0.5642335757202736,0,0.4809051627978204,0.6832148298881413,-0.2023096670903209,0
2022-06-13,2022-06-14,1,0.2834467120181406,continuation,0.5843253968253969,0.941468253968254,0.8524305555555555,0.8374007936507936,0.8875,0.0,2.0141055748657695,0.815842643776842,1.1982629310889277,0.4486173752762654,0.4920211306764882,-0.0434037554002228,0.4433315980932407,1.2294466376933055,-0.7861150396000649,0.6645986031220402,-0.2212670050287995,0,-4.702898550724638,4.671980676328502,-9.37487922705314,4.606280193236715,-9.309178743961352,0,0.281734321739997,0.8135114753699175,-0.5317771536299205,0,0.5845925702352577,0.6832148298881413,-0.0986222596528836,0
2022-06-14,2022-06-15,1,0.1866024187452759,continuation,0.5565476190476191,0.9811507936507936,0.8531249999999999,0.8544642857142857,0.85,0.0,2.216290275159136,0.815842643776842,1.4004476313822938,0.4705458785242625,0.4920211306764882,-0.0214752521522257,-1.0164281260299413,1.2294466376933055,-2.245874763723247,0.6645986031220402,-1.6810267291519816,0,-4.688405797101449,4.671980676328502,-9.360386473429951,4.606280193236715,-9.294685990338165,0,0.2371904801562652,0.8135114753699175,-0.5763209952136523,0,0.6101061267932444,0.6832148298881413,-0.0731087030948969,0
2022-06-15,2022-06-16,1,0.3708427815570673,continuation,0.5902777777777778,0.9781746031746033,0.8685416666666665,0.8604166666666666,0.8875,0.0,2.326638332328001,0.815842643776842,1.510795688551159,0.5204749288805651,0.4920211306764882,0.0284537982040768,1.7030479519366335,1.2294466376933055,0.4736013142433279,0.6645986031220402,1.0384493488145932,0,-4.683574879227053,4.671980676328502,-9.355555555555554,4.606280193236715,-9.289855072463768,0,0.5493095234487901,0.8135114753699175,-0.2642019519211274,0,0.6093043843295058,0.6832148298881413,-0.0739104455586354,0
2022-06-16,2022-06-17,1,0.4487906273620559,continuation,0.6259920634920635,0.9593253968253967,0.8663194444444443,0.8572420634920634,0.8875,0.0,2.443597983829179,0.815842643776842,1.627755340052337,0.5062246753170161,0.4920211306764882,0.0142035446405278,0.4955448652471551,1.2294466376933055,-0.7339017724461505,0.6645986031220402,-0.1690537378748851,0,-4.683574879227053,4.671980676328502,-9.355555555555554,4.606280193236715,-9.289855072463768,0,0.601621777794346,0.8135114753699175,-0.2118896975755715,0,0.6098017406250188,0.6832148298881413,-0.0734130892631225,0
2022-06-17,2022-06-20,1,0.3968253968253968,continuation,0.6180555555555556,0.9226190476190476,0.8484027777777777,0.8316468253968253,0.8875,0.0,2.5768978681762467,0.815842643776842,1.7610552243994049,0.4944809172707107,0.4920211306764882,0.0024597865942224,1.328545334810355,1.2294466376933055,0.0990986971170495,0.6645986031220402,0.6639467316883149,0,-4.741545893719807,4.671980676328502,-9.413526570048308,4.606280193236715,-9.347826086956522,0,0.4988995056151261,0.8135114753699175,-0.3146119697547914,0,0.6333259126397892,0.6832148298881413,-0.049888917248352,0
2022-06-20,2022-06-21,1,0.4818594104308391,continuation,0.6636904761904762,0.7946428571428572,0.7546527777777777,0.767361111111111,0.725,0.0,2.735799150762103,0.815842643776842,1.9199565069852609,0.4895274127314954,0.4920211306764882,-0.0024937179449928,0.6830761012536758,1.2294466376933055,-0.5463705364396297,0.6645986031220402,0.0184774981316355,0,4.640096618357488,4.671980676328502,-0.0318840579710144,4.606280193236715,0.0338164251207731,0,0.5600420502783869,0.8135114753699175,-0.2534694250915306,0,0.6352369402735236,0.6832148298881413,-0.0479778896146176,0
2022-06-21,2022-06-22,1,0.0,pending_switch,0.6031746031746033,0.7311507936507937,0.6580555555555555,0.7025793650793651,0.5541666666666666,0.0,2.836147124596385,0.815842643776842,2.020304480819543,0.4864892707662513,0.4920211306764882,-0.0055318599102369,-0.9702033390682108,1.2294466376933055,-2.199649976761516,0.6645986031220402,-1.634801942190251,0,-4.71256038647343,4.671980676328502,-9.384541062801931,4.606280193236715,-9.318840579710145,0,0.6747878602345148,0.8135114753699175,-0.1387236151354027,0,0.6377487180382775,0.6832148298881413,-0.0454661118498638,0
