series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,63,1,2019-05-14,2019-05-17,2019,Train,4,-0.00025680938924220464,True,0转+1持有,4,-0.00025680938924220464,True
仅零段反转（0→-1/0→+1）,64,0,2019-05-20,2019-05-20,2019,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,65,-1,2019-05-21,2019-05-21,2019,Train,1,-0.0172487073505396,True,0转-1持有,1,-0.0172487073505396,True
仅零段反转（0→-1/0→+1）,66,0,2019-05-22,2019-06-03,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,67,-1,2019-06-04,2019-06-05,2019,Train,2,0.014707660243163901,True,0转-1持有,2,0.014707660243163901,True
仅零段反转（0→-1/0→+1）,68,1,2019-06-06,2019-06-12,2019,Train,4,0.017170525760710903,True,0转+1持有,4,0.017170525760710903,True
仅零段反转（0→-1/0→+1）,69,0,2019-06-13,2019-06-17,2019,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,70,-1,2019-06-18,2019-06-19,2019,Train,2,-0.0103882100299441,True,0转-1持有,2,-0.0103882100299441,True
仅零段反转（0→-1/0→+1）,71,1,2019-06-20,2019-06-25,2019,Train,4,0.018981062312173204,True,0转+1持有,4,0.018981062312173204,True
仅零段反转（0→-1/0→+1）,72,0,2019-06-26,2019-07-05,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,73,-1,2019-07-08,2019-07-10,2019,Train,3,0.0319885181118036,True,0转-1持有,3,0.0319885181118036,True
仅零段反转（0→-1/0→+1）,74,0,2019-07-11,2019-07-23,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,75,-1,2019-07-24,2019-07-25,2019,Train,2,-0.0088672479051429,True,0转-1持有,2,-0.0088672479051429,True
仅零段反转（0→-1/0→+1）,76,0,2019-07-26,2019-08-02,2019,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,77,-1,2019-08-05,2019-08-07,2019,Train,3,0.0322381341983256,True,0转-1持有,3,0.0322381341983256,True
仅零段反转（0→-1/0→+1）,78,0,2019-08-08,2019-08-20,2019,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,79,1,2019-08-21,2019-09-12,2019,Train,17,0.07967096180631379,True,基础+1,0,0.07967096180631379,True
仅零段反转（0→-1/0→+1）,80,-1,2019-09-16,2019-09-17,2019,Train,2,0.021978120018135303,True,0转-1持有,2,0.021978120018135303,True
仅零段反转（0→-1/0→+1）,81,0,2019-09-18,2019-09-27,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,82,-1,2019-09-30,2019-10-09,2019,Train,3,0.0040466187272734,True,0转-1持有,3,0.0040466187272734,True
仅零段反转（0→-1/0→+1）,83,0,2019-10-10,2019-11-07,2019,Train,21,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,84,-1,2019-11-08,2019-11-11,2019,Train,2,0.031555663363797504,True,0转-1持有,2,0.031555663363797504,True
仅零段反转（0→-1/0→+1）,85,0,2019-11-12,2019-11-20,2019,Train,7,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,86,-1,2019-11-21,2019-11-26,2019,Train,4,0.009801115626563599,True,0转-1持有,4,0.009801115626563599,True
仅零段反转（0→-1/0→+1）,87,0,2019-11-27,2019-12-06,2019,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,88,1,2019-12-09,2020-01-13,2019,Train,25,0.106392734786763,True,基础+1,0,0.106392734786763,True
