实际执行日,三状态,+1反转,-1反转,0转-1,0转+1,大涨,大跌,执行日O2O,阶段,仅零段反转状态,仅零段反转原因,仅零段反转日收益
2018-10-22,0,0,0,0,0,0,1,0.0409743045267809,Train,0,基础0,0.0
2018-10-23,0,0,0,0,0,0,1,-0.0236618644931387,Train,0,基础0,-0.0
2018-10-24,0,0,0,0,0,0,0,-0.025899032454645,Train,0,基础0,-0.0
2018-10-25,0,0,0,0,1,0,0,0.0331519528680741,Train,1,0转+1持有,0.0331519528680741
2018-10-26,0,0,0,0,1,0,1,-0.0094522527135164,Train,1,0转+1持有,-0.0094522527135164
2018-10-29,0,0,0,0,1,0,1,-0.0178263223424911,Train,1,0转+1持有,-0.0178263223424911
2018-10-30,0,0,0,0,1,0,1,0.0150437234401166,Train,1,0转+1持有,0.0150437234401166
2018-10-31,0,0,0,0,1,0,1,0.021793240620161,Train,1,0转+1持有,0.021793240620161
2018-11-01,0,0,0,0,1,0,1,0.0156471993747122,Train,1,0转+1持有,0.0156471993747122
2018-11-02,0,0,0,0,0,0,1,0.013945983428347,Train,0,基础0,0.0
2018-11-05,0,0,0,0,0,0,0,-6.215511477425384e-05,Train,0,基础0,-0.0
2018-11-06,0,0,0,0,0,0,0,0.0023410354149875,Train,0,基础0,0.0
2018-11-07,0,0,0,0,0,0,0,0.0011117641488926,Train,0,基础0,0.0
2018-11-08,0,0,0,0,0,0,0,-0.0178816475866742,Train,0,基础0,-0.0
2018-11-09,0,0,0,0,0,0,0,-0.0005916281658002,Train,0,基础0,-0.0
2018-11-12,0,0,0,0,0,0,0,0.0161255750055135,Train,0,基础0,0.0
2018-11-13,0,0,0,0,0,0,0,0.0272734978852615,Train,0,基础0,0.0
2018-11-14,0,0,0,0,0,0,0,-0.0023982834209248,Train,0,基础0,-0.0
2018-11-15,0,0,0,0,0,0,0,0.0185257010049681,Train,0,基础0,0.0
2018-11-16,0,0,0,0,0,0,0,0.0076694423472689,Train,0,基础0,0.0
2018-11-19,0,0,0,0,0,0,0,-0.0067265031997811,Train,0,基础0,-0.0
2018-11-20,1,0,0,0,0,0,0,-0.0314850558300818,Train,1,基础+1,-0.0314850558300818
2018-11-21,1,0,0,0,0,1,0,0.0176796156826393,Train,1,基础+1,0.0176796156826393
2018-11-22,1,0,0,0,0,0,0,-0.0045000677677478,Train,1,基础+1,-0.0045000677677478
2018-11-23,1,0,0,0,0,0,1,-0.0375786567221553,Train,1,基础+1,-0.0375786567221553
2018-11-26,1,0,0,0,0,1,0,0.0050020316035246,Train,1,基础+1,0.0050020316035246
2018-11-27,0,0,0,0,0,0,1,-0.0007870184206831,Train,0,基础0,-0.0
2018-11-28,0,0,0,0,1,0,1,0.0166202935957324,Train,1,0转+1持有,0.0166202935957324
2018-11-29,0,0,0,0,1,0,1,-0.0288500977807055,Train,1,0转+1持有,-0.0288500977807055
2018-11-30,0,0,0,1,1,1,1,0.0345227276948612,Train,0,零段同日冲突置0,0.0
2018-12-03,0,0,0,1,1,0,1,0.005036774169979,Train,0,零段同日冲突置0,0.0
2018-12-04,0,0,0,0,1,0,1,-0.0111065160082451,Train,1,0转+1持有,-0.0111065160082451
2018-12-05,0,0,0,0,1,0,1,0.0046255351451065,Train,1,0转+1持有,0.0046255351451065
2018-12-06,0,0,0,0,0,0,1,-0.0127773118458317,Train,0,基础0,-0.0
2018-12-07,0,0,0,0,0,0,1,-0.0086497026003614,Train,0,基础0,-0.0
2018-12-10,0,0,0,0,0,0,1,-0.0019064768242099,Train,0,基础0,-0.0
2018-12-11,0,0,0,0,0,0,0,0.0082064202983596,Train,0,基础0,0.0
2018-12-12,0,0,0,0,0,0,0,-0.0008682636645548,Train,0,基础0,-0.0
2018-12-13,0,0,0,0,0,0,0,0.007018296418769,Train,0,基础0,0.0
2018-12-14,0,0,0,0,0,0,0,-0.0255655412982991,Train,0,基础0,-0.0
2018-12-17,0,0,0,0,0,0,0,-0.0033650399927728,Train,0,基础0,-0.0
2018-12-18,0,0,0,0,0,0,0,0.0007500845278456,Train,0,基础0,0.0
2018-12-19,0,0,0,0,0,0,0,-0.0164466963772607,Train,0,基础0,-0.0
2018-12-20,0,0,0,0,0,0,0,0.0014281291157201,Train,0,基础0,0.0
2018-12-21,0,0,0,0,0,0,0,-0.0044919393089067,Train,0,基础0,-0.0
2018-12-24,0,0,0,0,0,0,0,0.0014640836797674,Train,0,基础0,0.0
2018-12-25,0,0,0,1,0,0,0,-0.0035151170773455,Train,-1,0转-1持有,0.0035151170773455
2018-12-26,0,0,0,1,0,0,0,0.0105893058315316,Train,-1,0转-1持有,-0.0105893058315316
2018-12-27,-1,0,0,0,0,0,0,-0.0221410259973735,Train,-1,基础-1,0.0221410259973735
2018-12-28,-1,0,0,0,0,0,0,0.0017198376978282,Train,-1,基础-1,-0.0017198376978282
2019-01-02,-1,0,0,0,0,0,0,-0.0106354722761359,Train,-1,基础-1,0.0106354722761359
2019-01-03,-1,0,0,0,0,0,0,-0.0135714764417866,Train,-1,基础-1,0.0135714764417866
2019-01-04,-1,0,0,0,0,0,0,0.0391137626929407,Train,-1,基础-1,-0.0391137626929407
2019-01-07,0,0,0,0,1,0,0,0.0102113923697342,Train,1,0转+1持有,0.0102113923697342
2019-01-08,0,0,0,0,1,0,0,0.0018584103023451,Train,1,0转+1持有,0.0018584103023451
