问题图区间,实际执行日,推定形成日,原始状态,调整后三状态,调整原因,+1反转,-1反转,0转-1,0转+1,原始策略日收益,调整策略日收益,指数日收益,局部原始三状态_NAV,局部加入四反转_NAV,局部普通指数_NAV
红色区间2,2024-04-19,2024-04-18,0,1,0转+1持有,0,0,0,1,-0.0,-0.006191277446383259,-0.006191277446383259,1.0,0.9938087225536167,1.0040929548217004
红色区间2,2024-04-22,2024-04-19,0,1,0转+1持有,0,0,0,1,-0.0,-0.005981880840849052,-0.005981880840849052,1.0,0.9878268417127677,0.9981110739808512
红色区间2,2024-04-23,2024-04-22,0,1,0转+1持有,0,0,0,1,-0.0,-0.009050022385933332,-0.009050022385933332,1.0,0.9787768193268344,0.9890610515949179
红色区间2,2024-04-24,2024-04-23,0,1,0转+1持有,0,0,0,1,0.0,0.005815265878084119,0.005815265878084119,1.0,0.9845920852049185,0.994876317473002
红色区间2,2024-04-25,2024-04-24,0,0,零段同日冲突置0,0,0,1,1,0.0,0.0,0.0034162890025928316,1.0,0.9845920852049185,0.9982926064755948
红色区间2,2024-04-26,2024-04-25,0,0,零段同日冲突置0,0,0,1,1,0.0,0.0,0.02145668421711333,1.0,0.9845920852049185,1.0197492906927081
红色区间2,2024-04-29,2024-04-26,0,1,0转+1持有,0,0,0,1,0.0,0.01860946771010097,0.01860946771010097,1.0,1.0032015529150193,1.0383587584028091
红色区间2,2024-04-30,2024-04-29,0,1,0转+1持有,0,0,0,1,0.0,0.0049855171682184896,0.0049855171682184896,1.0,1.0081870700832378,1.0433442755710276
红色区间2,2024-05-06,2024-04-30,1,1,基础+1,0,0,0,0,0.0061615247454906985,0.0061615247454906985,0.0061615247454906985,1.0061615247454907,1.0143485948287285,1.0495058003165183
红色区间2,2024-05-07,2024-05-06,1,1,基础+1,0,0,0,0,-0.0028695540733975067,-0.0028695540733975067,-0.0028695540733975067,1.0032919706720933,1.0114790407553311,1.046636246243121
红色区间2,2024-05-08,2024-05-07,1,1,基础+1,0,0,0,0,-0.00998608216660879,-0.00998608216660879,-0.00998608216660879,0.9933058885054844,1.0014929585887224,1.036650164076512
红色区间2,2024-05-09,2024-05-08,1,1,基础+1,0,0,0,0,0.018463001889639452,0.018463001889639452,0.018463001889639452,1.0117688903951239,1.0199559604783617,1.0551131659661515
红色区间2,2024-05-10,2024-05-09,1,0,+1退出到0,1,0,0,0,-0.010618922956845966,-0.0,-0.010618922956845966,1.0011499674382778,1.0199559604783617,1.0444942430093054
红色区间2,2024-05-13,2024-05-10,1,0,+1退出到0,1,0,0,0,0.0009699391724191653,0.0,0.0009699391724191653,1.0021199066106972,1.0199559604783617,1.0454641821817248
红色区间2,2024-05-14,2024-05-13,1,1,基础+1,0,0,0,0,-0.0023435198287407033,-0.0023435198287407033,-0.0023435198287407033,0.9997763867819563,1.017612440649621,1.043120662352984
红色区间2,2024-05-15,2024-05-14,1,1,基础+1,0,0,0,0,-0.006268591040569871,-0.006268591040569871,-0.006268591040569871,0.9935077957413865,1.0113438496090512,1.036852071312414
红色区间2,2024-05-16,2024-05-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0077731849163127364,0.9935077957413865,1.0113438496090512,1.0290788863961013
红色区间2,2024-05-17,2024-05-16,0,1,0转+1持有,0,0,0,1,0.0,0.014419235760887217,0.014419235760887217,0.9935077957413865,1.0257630853699384,1.0434981221569886
红色区间2,2024-05-20,2024-05-17,0,1,0转+1持有,0,0,0,1,0.0,0.002673087189207779,0.002673087189207779,0.9935077957413865,1.0284361725591462,1.0461712093461963
红色区间2,2024-05-21,2024-05-20,0,1,0转+1持有,0,0,0,1,-0.0,-0.007162136628252491,-0.007162136628252491,0.9935077957413865,1.0212740359308938,1.0390090727179437
红色区间2,2024-05-22,2024-05-21,0,1,0转+1持有,0,0,0,1,-0.0,-0.004215909847237409,-0.004215909847237409,0.9935077957413865,1.0170581260836564,1.0347931628707063
红色区间2,2024-05-23,2024-05-22,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.018431161743504454,0.9935077957413865,1.0170581260836564,1.0163620011272019
红色区间2,2024-05-24,2024-05-23,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0042365443833890515,0.9935077957413865,1.0170581260836564,1.012125456743813
红色区间2,2024-05-27,2024-05-24,0,0,基础0,0,0,0,0,0.0,0.0,0.007037223048005803,0.9935077957413865,1.0170581260836564,1.0191626797918187
红色区间2,2024-05-28,2024-05-27,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.010205786330507394,0.9935077957413865,1.0170581260836564,1.0089568934613113
红色区间2,2024-05-29,2024-05-28,0,0,基础0,0,0,0,0,0.0,0.0,0.0014703142621783627,0.9935077957413865,1.0170581260836564,1.0104272077234897
红色区间2,2024-05-30,2024-05-29,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0010677341462544954,0.9935077957413865,1.0170581260836564,1.009359473577235
红色区间2,2024-05-31,2024-05-30,-1,-1,基础-1,0,0,0,0,0.0018707249925989933,0.0018707249925989933,-0.0018707249925989933,0.9953785207339855,1.0189288510762553,1.0074887485846362
红色区间2,2024-06-03,2024-05-31,-1,-1,基础-1,0,0,0,0,0.007085985667524275,0.007085985667524275,-0.007085985667524275,1.0024645064015099,1.0260148367437796,1.000402762917112
红色区间2,2024-06-04,2024-06-03,-1,-1,基础-1,0,0,0,0,-0.012471857562024402,-0.012471857562024402,0.012471857562024402,0.9899926488394853,1.0135429791817552,1.0128746204791363
红色区间2,2024-06-05,2024-06-04,-1,-1,基础-1,0,0,0,0,0.007008430571311952,0.007008430571311952,-0.007008430571311952,0.9970010794107973,1.0205514097530672,1.0058661899078243
红色区间2,2024-06-06,2024-06-05,-1,-1,基础-1,0,0,0,0,0.008385982343677045,0.008385982343677045,-0.008385982343677045,1.0053870617544742,1.0289373920967442,0.9974802075641473
红色区间2,2024-06-07,2024-06-06,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.012336858462224654,1.0053870617544742,1.0289373920967442,0.9851433491019227
红色区间2,2024-06-11,2024-06-07,0,0,基础0,0,0,0,0,0.0,0.0,0.005156188925046878,1.0053870617544742,1.0289373920967442,0.9902995380269696
红色区间2,2024-06-12,2024-06-11,0,0,基础0,0,0,0,0,0.0,0.0,0.004372165939892092,1.0053870617544742,1.0289373920967442,0.9946717039668617
红色区间2,2024-06-13,2024-06-12,0,-1,0转-1持有,0,0,1,0,-0.0,0.009866550446513855,-0.009866550446513855,1.0053870617544742,1.038803942543258,0.9848051535203478
红色区间2,2024-06-14,2024-06-13,0,-1,0转-1持有,0,0,1,0,0.0,-0.001736447623083226,0.001736447623083226,1.0053870617544742,1.0370674949201748,0.986541601143431
红色区间2,2024-06-17,2024-06-14,0,0,基础0,0,0,0,0,0.0,0.0,0.0036023659526054352,1.0053870617544742,1.0370674949201748,0.9901439670960365
红色区间2,2024-06-18,2024-06-17,0,0,基础0,0,0,0,0,0.0,0.0,0.00527999572655613,1.0053870617544742,1.0370674949201748,0.9954239628225926
红色区间2,2024-06-19,2024-06-18,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.014003483694834395,1.0053870617544742,1.0370674949201748,0.9814204791277582
红色区间2,2024-06-20,2024-06-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.01593098347631894,1.0053870617544742,1.0370674949201748,0.9654894956514393
红色区间2,2024-06-21,2024-06-20,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.001401556787498981,1.0053870617544742,1.0370674949201748,0.9640879388639403
红色区间2,2024-06-24,2024-06-21,0,-1,0转-1持有,0,0,1,0,-0.0,0.01650596392195669,-0.01650596392195669,1.0053870617544742,1.0535734588421315,0.9475819749419836
红色区间2,2024-06-25,2024-06-24,0,-1,0转-1持有,0,0,1,0,-0.0,0.009401769824375794,-0.009401769824375794,1.0053870617544742,1.0629752286665073,0.9381802051176078
红色区间2,2024-06-26,2024-06-25,-1,-1,基础-1,0,0,0,0,-0.011498684827451644,-0.011498684827451644,0.011498684827451644,0.9938883769270227,1.0514765438390556,0.9496788899450594
红色区间2,2024-06-27,2024-06-26,-1,-1,基础-1,0,0,0,0,0.016868255242415198,0.016868255242415198,-0.016868255242415198,1.010756632169438,1.068344799081471,0.9328106347026442
红色区间2,2024-06-28,2024-06-27,-1,-1,基础-1,0,0,0,0,-0.005924589880340392,-0.005924589880340392,0.005924589880340392,1.0048320422890975,1.0624202092011306,0.9387352245829846
红色区间2,2024-07-01,2024-06-28,-1,-1,基础-1,0,0,0,0,-0.011486943803623362,-0.011486943803623362,0.011486943803623362,0.9933450984854741,1.0509332653975072,0.950222168386608
红色区间2,2024-07-02,2024-07-01,-1,-1,基础-1,0,0,0,0,0.011033989546443634,0.011033989546443634,-0.011033989546443634,1.0043790880319179,1.0619672549439507,0.9391881788401644
红色区间2,2024-07-03,2024-07-02,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.005653335097666856,1.0043790880319179,1.0619672549439507,0.9335348437424975
红色区间2,2024-07-04,2024-07-03,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.018013148057036243,1.0043790880319179,1.0619672549439507,0.9155216956854613
红色区间2,2024-07-05,2024-07-04,-1,-1,基础-1,0,0,0,0,-0.005831952815060326,-0.005831952815060326,0.005831952815060326,0.9985471352168575,1.0561353021288904,0.9213536485005216
红色区间2,2024-07-08,2024-07-05,-1,-1,基础-1,0,0,0,0,0.016823345239456833,0.016823345239456833,-0.016823345239456833,1.0153704804563142,1.0729586473683472,0.9045303032610648
红色区间2,2024-07-09,2024-07-08,-1,-1,基础-1,0,0,0,0,-0.017207227731308228,-0.017207227731308228,0.017207227731308228,0.9981632527250061,1.055751419637039,0.921737530992373
红色区间2,2024-07-10,2024-07-09,-1,-1,基础-1,0,0,0,0,-0.009331499461758153,-0.009331499461758153,0.009331499461758153,0.9888317532632479,1.0464199201752808,0.9310690304541311
红色区间2,2024-07-11,2024-07-10,-1,-1,基础-1,0,0,0,0,-0.004929947732429385,-0.004929947732429385,0.004929947732429385,0.9839018055308185,1.0414899724428515,0.9359989781865605
红色区间2,2024-07-12,2024-07-11,-1,0,-1退出到0,0,1,0,0,0.00476257145044523,-0.0,-0.00476257145044523,0.9886643769812637,1.0414899724428515,0.9312364067361153
红色区间2,2024-07-15,2024-07-12,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0052850035508194,0.9886643769812637,1.0414899724428515,0.9259514031852959
红色区间2,2024-07-16,2024-07-15,0,0,基础0,0,0,0,0,0.0,0.0,0.0032419010903106393,0.9886643769812637,1.0414899724428515,0.9291933042756065
红色区间2,2024-07-17,2024-07-16,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.014567213068455764,0.9886643769812637,1.0414899724428515,0.9146260912071508
红色区间2,2024-07-18,2024-07-17,0,0,基础0,0,0,0,0,0.0,0.0,0.006410424040179885,0.9886643769812637,1.0414899724428515,0.9210365152473307
红色区间2,2024-07-19,2024-07-18,0,0,基础0,0,0,0,0,0.0,0.0,0.0040374674673135935,0.9886643769812637,1.0414899724428515,0.9250739827146442
红色区间2,2024-07-22,2024-07-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0019836695380622826,0.9886643769812637,1.0414899724428515,0.923090313176582
红色区间2,2024-07-23,2024-07-22,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.030985896377533018,0.9886643769812637,1.0414899724428515,0.892104416799049
红色区间2,2024-07-24,2024-07-23,0,-1,0转-1持有,0,0,1,0,-0.0,0.014401775613412382,-0.014401775613412382,0.9886643769812637,1.055891748056264,0.8777026411856366
红色区间2,2024-07-25,2024-07-24,0,-1,0转-1持有,0,0,1,0,0.0,-0.0056034102157431764,0.0056034102157431764,0.9886643769812637,1.0502883378405206,0.8833060514013797
红色区间2,2024-07-26,2024-07-25,0,0,基础0,0,0,0,0,0.0,0.0,0.014999144728417013,0.9886643769812637,1.0502883378405206,0.8983051961297968
红色区间2,2024-07-29,2024-07-26,0,1,0转+1持有,0,0,0,1,-0.0,-0.0096981984386032,-0.0096981984386032,0.9886643769812637,1.0405901394019175,0.8886069976911936
红色区间2,2024-07-30,2024-07-29,0,1,0转+1持有,0,0,0,1,0.0,4.347617981426133e-05,4.347617981426133e-05,0.9886643769812637,1.0406336155817317,0.8886504738710078
红色区间2,2024-07-31,2024-07-30,0,1,0转+1持有,0,0,0,1,0.0,0.042418232976524584,0.042418232976524584,0.9886643769812637,1.0830518485582563,0.9310687068475324
红色区间2,2024-08-01,2024-07-31,0,1,0转+1持有,0,0,0,1,-0.0,-0.01572048008050242,-0.01572048008050242,0.9886643769812637,1.067331368477754,0.91534822676703
红色区间2,2024-08-02,2024-08-01,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.012634875910456644,0.9886643769812637,1.067331368477754,0.9027133508565733
红色区间2,2024-08-05,2024-08-02,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0032845567737517234,0.9886643769812637,1.067331368477754,0.8994287940828216
红色区间2,2024-08-06,2024-08-05,0,0,基础0,0,0,0,0,0.0,0.0,0.0015876960642946525,0.9886643769812637,1.067331368477754,0.9010164901471163
红色区间2,2024-08-07,2024-08-06,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.002293101342480286,0.9886643769812637,1.067331368477754,0.898723388804636
红色区间2,2024-08-08,2024-08-07,0,0,基础0,0,0,0,0,0.0,0.0,0.008689739172720756,0.9886643769812637,1.067331368477754,0.9074131279773567
红色区间2,2024-08-09,2024-08-08,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.012828171981045466,0.9886643769812637,1.067331368477754,0.8945849559963113
红色区间2,2024-08-12,2024-08-09,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0006361511825253574,0.9886643769812637,1.067331368477754,0.8939488048137859
红色区间2,2024-08-13,2024-08-12,0,0,基础0,0,0,0,0,0.0,0.0,0.0033633719150512054,0.9886643769812637,1.067331368477754,0.8973121767288371
红色区间2,2024-08-14,2024-08-13,0,-1,0转-1持有,0,0,1,0,-0.0,0.015459295169836018,-0.015459295169836018,0.9886643769812637,1.08279066364759,0.8818528815590011
红色区间2,2024-08-15,2024-08-14,0,-1,0转-1持有,0,0,1,0,0.0,-0.010073496331625797,0.010073496331625797,0.9886643769812637,1.0727171673159641,0.8919263778906269
红色区间2,2024-08-16,2024-08-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.007924433777825146,0.9886643769812637,1.0727171673159641,0.8840019441128018
红色区间2,2024-08-19,2024-08-16,0,0,基础0,0,0,0,0,0.0,0.0,0.0038497056402431173,0.9886643769812637,1.0727171673159641,0.8878516497530449
红色区间2,2024-08-20,2024-08-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.020324574789784777,0.9886643769812637,1.0727171673159641,0.8675270749632601
红色区间2,2024-08-21,2024-08-20,0,0,基础0,0,0,0,0,0.0,0.0,8.871042691827036e-05,0.9886643769812637,1.0727171673159641,0.8676157853901784
红色区间2,2024-08-22,2024-08-21,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.01427278849553748,0.9886643769812637,1.0727171673159641,0.8533429968946409
红色区间2,2024-08-23,2024-08-22,0,0,基础0,0,0,0,0,0.0,0.0,0.004170145619441623,0.9886643769812637,1.0727171673159641,0.8575131425140825
红色区间2,2024-08-26,2024-08-23,0,-1,0转-1持有,0,0,1,0,-0.0,0.0022827708135347846,-0.0022827708135347846,0.9886643769812637,1.074999938129499,0.8552303717005477
红色区间2,2024-08-27,2024-08-26,0,-1,0转-1持有,0,0,1,0,-0.0,0.010161090179625742,-0.010161090179625742,0.9886643769812637,1.0851610283091246,0.845069281520922
红色区间2,2024-08-28,2024-08-27,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0006414229787236048,0.9886643769812637,1.0851610283091246,0.8444278585421984
红色区间2,2024-08-29,2024-08-28,0,0,基础0,0,0,0,0,0.0,0.0,0.016493168119732893,0.9886643769812637,1.0851610283091246,0.8609210266619313
红色区间2,2024-08-30,2024-08-29,0,0,基础0,0,0,0,0,0.0,0.0,0.01632449306543271,0.9886643769812637,1.0851610283091246,0.877245519727364
红色区间2,2024-09-02,2024-08-30,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.019145597758224664,0.9886643769812637,1.0851610283091246,0.8580999219691393
红色区间2,2024-09-03,2024-09-02,0,0,基础0,0,0,0,0,0.0,0.0,0.005385167585332473,0.9886643769812637,1.0851610283091246,0.8634850895544718
红色区间2,2024-09-04,2024-09-03,0,0,基础0,0,0,0,0,0.0,0.0,0.0038272991544208157,0.9886643769812637,1.0851610283091246,0.8673123887088926
红色区间2,2024-09-05,2024-09-04,0,0,基础0,0,0,0,0,0.0,0.0,0.00527226081610932,0.9886643769812637,1.0851610283091246,0.8725846495250019
红色区间2,2024-09-06,2024-09-05,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.01991089009908331,0.9886643769812637,1.0851610283091246,0.8526737594259186
红色区间2,2024-09-09,2024-09-06,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.001824478129350271,0.9886643769812637,1.0851610283091246,0.8508492812965683
红色区间2,2024-09-10,2024-09-09,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.004243851561240741,0.9886643769812637,1.0851610283091246,0.8466054297353276
红色区间2,2024-09-11,2024-09-10,0,0,基础0,0,0,0,0,0.0,0.0,0.0064143212575102915,0.9886643769812637,1.0851610283091246,0.8530197509928379
红色区间2,2024-09-12,2024-09-11,0,-1,0转-1持有,0,0,1,0,-0.0,0.004114482972095268,-0.004114482972095268,0.9886643769812637,1.0892755112812198,0.8489052680207426
红色区间2,2024-09-13,2024-09-12,0,-1,0转-1持有,0,0,1,0,-0.0,0.01117810794781593,-0.01117810794781593,0.9886643769812637,1.100453619229036,0.8377271600729267
红色区间3,2025-03-03,2025-02-28,1,1,基础+1,0,0,0,0,-0.0051874145606561894,-0.0051874145606561894,-0.0051874145606561894,0.9948125854393438,0.9948125854393438,0.9948125854393438
红色区间3,2025-03-04,2025-03-03,1,1,基础+1,0,0,0,0,0.01567644367147003,0.01567644367147003,0.01567644367147003,1.010489029110814,1.010489029110814,1.010489029110814
红色区间3,2025-03-05,2025-03-04,1,1,基础+1,0,0,0,0,0.007288465086550344,0.007288465086550344,0.007288465086550344,1.017777494197364,1.017777494197364,1.017777494197364
红色区间3,2025-03-06,2025-03-05,1,1,基础+1,0,0,0,0,0.008193710372709218,0.008193710372709218,0.008193710372709218,1.0259712045700735,1.0259712045700735,1.0259712045700735
红色区间3,2025-03-07,2025-03-06,1,1,基础+1,0,0,0,0,-0.0011112085414136663,-0.0011112085414136663,-0.0011112085414136663,1.0248599960286597,1.0248599960286597,1.0248599960286597
红色区间3,2025-03-10,2025-03-07,1,1,基础+1,0,0,0,0,-0.012994494445613514,-0.012994494445613514,-0.012994494445613514,1.0118655015830462,1.0118655015830462,1.0118655015830462
红色区间3,2025-03-11,2025-03-10,1,1,基础+1,0,0,0,0,0.02085258212841179,0.02085258212841179,0.02085258212841179,1.032718083711458,1.032718083711458,1.032718083711458
红色区间3,2025-03-12,2025-03-11,1,1,基础+1,0,0,0,0,-0.005853575788527965,-0.005853575788527965,-0.005853575788527965,1.0268645079229302,1.0268645079229302,1.0268645079229302
红色区间3,2025-03-13,2025-03-12,1,1,基础+1,0,0,0,0,-0.006445423140903017,-0.006445423140903017,-0.006445423140903017,1.0204190847820271,1.0204190847820271,1.0204190847820271
红色区间3,2025-03-14,2025-03-13,1,1,基础+1,0,0,0,0,0.020960431201342944,0.020960431201342944,0.020960431201342944,1.0413795159833699,1.0413795159833699,1.0413795159833699
红色区间3,2025-03-17,2025-03-14,1,1,基础+1,0,0,0,0,0.0010506067841227207,0.0010506067841227207,0.0010506067841227207,1.0424301227674926,1.0424301227674926,1.0424301227674926
红色区间3,2025-03-18,2025-03-17,1,1,基础+1,0,0,0,0,-0.0014058683987101528,-0.0014058683987101528,-0.0014058683987101528,1.0410242543687827,1.0410242543687827,1.0410242543687827
红色区间3,2025-03-19,2025-03-18,1,1,基础+1,0,0,0,0,-0.003691210971129011,-0.003691210971129011,-0.003691210971129011,1.0373330433976535,1.0373330433976535,1.0373330433976535
红色区间3,2025-03-20,2025-03-19,1,1,基础+1,0,0,0,0,-0.009163928203822724,-0.009163928203822724,-0.009163928203822724,1.0281691151938308,1.0281691151938308,1.0281691151938308
红色区间3,2025-03-21,2025-03-20,1,1,基础+1,0,0,0,0,-0.010919591039554422,-0.010919591039554422,-0.010919591039554422,1.0172495241542765,1.0172495241542765,1.0172495241542765
红色区间3,2025-03-24,2025-03-21,1,1,基础+1,0,0,0,0,-0.0006077635490069344,-0.0006077635490069344,-0.0006077635490069344,1.0166417606052693,1.0166417606052693,1.0166417606052693
红色区间3,2025-03-25,2025-03-24,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.005622442421674645,1.0166417606052693,1.0166417606052693,1.0110193181835947
