date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2025-06-17,5750.9122,0.424776706283687,0,0,0,0,-11.060327354192044,-11.060327354192044,test,5750.9122,0.424776706283687,0,0,0,0,-11.060327354192044,-11.060327354192044,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-18,5745.8714,0.4263454314503739,0,0,0,0,-112.86864426614416,-112.86864426614416,test,5745.8714,0.4263454314503739,0,0,0,0,-112.86864426614416,-112.86864426614416,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-19,5676.8317,0.5516497541898571,0,0,0,0,-98.4440166156486,-98.4440166156486,test,5676.8317,0.5516497541898571,0,0,0,0,-98.4440166156486,-98.4440166156486,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-20,5639.513,0.3412480348285852,0,0,0,0,125.02651523984775,125.02651523984775,test,5639.513,0.3412480348285852,0,0,0,0,125.02651523984775,125.02651523984775,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-23,5674.1704,0.3490353756516769,0,1,0,0,165.8816346134917,165.8816346134917,test,5674.1704,0.3490353756516769,0,1,0,0,165.8816346134917,165.8816346134917,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-24,5765.8373,0.2955667337678186,0,0,0,0,156.7256292788799,156.7256292788799,test,5765.8373,0.2955667337678186,0,0,0,0,156.7256292788799,156.7256292788799,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-25,5862.5529,0.3170699635585656,0,0,0,0,-30.447017261785447,-30.447017261785447,test,5862.5529,0.3170699635585656,0,0,0,0,-30.447017261785447,-30.447017261785447,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-26,5838.2454,0.3620638738797237,0,0,0,0,46.5771274197313,46.5771274197313,test,5838.2454,0.3620638738797237,0,0,0,0,46.5771274197313,46.5771274197313,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-27,5863.7282,0.4912412848029259,0,0,0,0,64.87174145803465,64.87174145803465,test,5863.7282,0.4912412848029259,0,0,0,0,64.87174145803465,64.87174145803465,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-06-30,5915.3876,0.3306534211655023,0,0,0,0,11.387124486184064,11.387124486184064,test,5915.3876,0.3306534211655023,0,0,0,0,11.387124486184064,11.387124486184064,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-01,5934.67,0.3259795119889666,0,0,0,0,-44.40729297140899,-44.40729297140899,test,5934.67,0.3259795119889666,0,0,0,0,-44.40729297140899,-44.40729297140899,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-02,5892.9505,0.3602167607451992,0,0,0,0,36.48545328113428,36.48545328113428,test,5892.9505,0.3602167607451992,0,0,0,0,36.48545328113428,36.48545328113428,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-03,5922.66,0.3360894351903166,0,0,0,0,-27.630757823112752,-27.630757823112752,test,5922.66,0.3360894351903166,0,0,0,0,-27.630757823112752,-27.630757823112752,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-04,5911.4352,0.5374299911825845,0,0,0,0,2.8805020529198977,2.8805020529198977,test,5911.4352,0.5374299911825845,0,0,0,0,2.8805020529198977,2.8805020529198977,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-07,5900.4056,0.3213303884449224,0,0,0,0,131.3604337868668,131.3604337868668,test,5900.4056,0.3213303884449224,0,0,0,0,131.3604337868668,131.3604337868668,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-08,5977.7437,0.3304113985351742,0,0,0,0,-49.62575023888305,-49.62575023888305,test,5977.7437,0.3304113985351742,0,0,0,0,-49.62575023888305,-49.62575023888305,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-09,5953.4871,0.3927963369826495,0,0,0,0,58.57519897988883,58.57519897988883,test,5953.4871,0.3927963369826495,0,0,0,0,58.57519897988883,58.57519897988883,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-10,5983.0505,0.4106694215768831,0,0,0,0,79.11125212577419,79.11125212577419,test,5983.0505,0.4106694215768831,0,0,0,0,79.11125212577419,79.11125212577419,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-11,6027.0789,0.592114006410499,0,0,0,0,-24.117968204552255,-24.117968204552255,test,6027.0789,0.592114006410499,0,0,0,0,-24.117968204552255,-24.117968204552255,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-14,6020.8585,0.3261149613026642,0,0,0,0,1.576937625344943,1.576937625344943,test,6020.8585,0.3261149613026642,0,0,0,0,1.576937625344943,1.576937625344943,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-15,6018.7583,0.4637419781905904,0,0,0,0,-9.738891099730916,-9.738891099730916,test,6018.7583,0.4637419781905904,0,0,0,0,-9.738891099730916,-9.738891099730916,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-16,6017.1947,0.4155552517170807,0,0,0,0,130.56074614521407,130.56074614521407,test,6017.1947,0.4155552517170807,0,0,0,0,130.56074614521407,130.56074614521407,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-17,6082.4644,0.3205763768633674,0,0,0,0,37.41799225689179,37.41799225689179,test,6082.4644,0.3205763768633674,0,0,0,0,37.41799225689179,37.41799225689179,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-18,6099.6104,0.3374171320309815,0,0,0,0,84.36743231896583,84.36743231896583,test,6099.6104,0.3374171320309815,0,0,0,0,84.36743231896583,84.36743231896583,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-21,6161.3086,0.3281155326813354,0,0,0,0,83.66095222008596,83.66095222008596,test,6161.3086,0.3281155326813354,0,0,0,0,83.66095222008596,83.66095222008596,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-22,6213.4072,0.3354994010156104,0,0,0,0,-32.73242644917573,-32.73242644917573,test,6213.4072,0.3354994010156104,0,0,0,0,-32.73242644917573,-32.73242644917573,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-23,6196.7577,0.6141529100225227,0,0,0,0,160.97880472548232,160.97880472548232,test,6196.7577,0.6141529100225227,0,0,0,0,160.97880472548232,160.97880472548232,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-24,6293.5984,0.3279868783560627,0,0,0,0,12.066770245386936,12.066770245386936,test,6293.5984,0.3279868783560627,0,0,0,0,12.066770245386936,12.066770245386936,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-25,6299.5908,0.3403307106653663,0,0,0,0,4.596346899421455,4.596346899421455,test,6299.5908,0.3403307106653663,0,0,0,0,4.596346899421455,4.596346899421455,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-28,6323.4198,0.3729067338915341,0,0,0,0,59.05227463232077,59.05227463232077,test,6323.4198,0.3729067338915341,0,0,0,0,59.05227463232077,59.05227463232077,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-29,6356.1327,0.3375500655830989,0,0,0,0,-74.79701313730436,-74.79701313730436,test,6356.1327,0.3375500655830989,0,0,0,0,-74.79701313730436,-74.79701313730436,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-30,6314.6873,0.7987926090104323,0,0,0,0,-122.04314312288966,-122.04314312288966,test,6314.6873,0.7987926090104323,0,0,0,0,-122.04314312288966,-122.04314312288966,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-07-31,6226.3432,0.9270911983846468,1,0,0,0,-49.358544830974125,-49.358544830974125,test,6226.3432,0.9270911983846468,1,0,0,0,-49.358544830974125,-49.358544830974125,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-01,6213.2014,0.6938167132787791,0,0,0,0,140.00368283231035,140.00368283231035,test,6213.2014,0.6938167132787791,0,0,0,0,140.00368283231035,140.00368283231035,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-04,6261.7313,0.5210646253854594,0,0,0,0,34.91741308610629,34.91741308610629,test,6261.7313,0.5210646253854594,0,0,0,0,34.91741308610629,34.91741308610629,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-05,6303.2359,0.5118895976550468,0,0,0,0,91.13152265834978,91.13152265834978,test,6303.2359,0.5118895976550468,0,0,0,0,91.13152265834978,91.13152265834978,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-06,6357.3769,0.5068057755047516,0,0,0,0,-50.59144013901506,-50.59144013901506,test,6357.3769,0.5068057755047516,0,0,0,0,-50.59144013901506,-50.59144013901506,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-07,6337.5425,0.6223744146093133,0,0,0,0,17.792203270288187,17.792203270288187,test,6337.5425,0.6223744146093133,0,0,0,0,17.792203270288187,17.792203270288187,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-08,6323.4999,0.5125593015424349,0,0,0,0,89.93143271628368,89.93143271628368,test,6323.4999,0.5125593015424349,0,0,0,0,89.93143271628368,89.93143271628368,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-11,6391.7595,0.5802119078078587,0,0,0,0,47.53580817451919,47.53580817451919,test,6391.7595,0.5802119078078587,0,0,0,0,47.53580817451919,47.53580817451919,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-12,6418.1595,0.4814847411160733,0,0,0,0,134.55151857785674,134.55151857785674,test,6418.1595,0.4814847411160733,0,0,0,0,134.55151857785674,134.55151857785674,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-13,6508.0978,0.5189663275184103,0,0,0,0,-141.0610829258274,-141.0610829258274,test,6508.0978,0.5189663275184103,0,0,0,0,-141.0610829258274,-141.0610829258274,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-14,6429.8462,0.914968630253754,1,1,1,1,304.7951480702693,304.7951480702693,test,6429.8462,0.914968630253754,1,1,1,1,304.7951480702693,304.7951480702693,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-15,6568.57,0.479161619752726,0,0,0,0,75.86464925884329,75.86464925884329,test,6568.57,0.479161619752726,0,0,0,0,75.86464925884329,75.86464925884329,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-18,6668.1726,0.74039859211617,0,0,0,0,-59.34604272419208,-59.34604272419208,test,6668.1726,0.74039859211617,0,0,0,0,-59.34604272419208,-59.34604272419208,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-19,6655.3105,0.6357974065085324,0,1,0,0,175.24587559739624,175.24587559739624,test,6655.3105,0.6357974065085324,0,1,0,0,175.24587559739624,175.24587559739624,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-20,6728.0692,0.4500322218859905,0,0,0,0,-52.910742970533335,-52.910742970533335,test,6728.0692,0.4500322218859905,0,0,0,0,-52.910742970533335,-52.910742970533335,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-21,6704.1657,0.7540438092984105,0,1,0,0,271.8342670826779,271.8342670826779,test,6704.1657,0.7540438092984105,0,1,0,0,271.8342670826779,271.8342670826779,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-22,6822.8469,0.4390140706227809,0,0,0,0,61.01708324401267,61.01708324401267,test,6822.8469,0.4390140706227809,0,0,0,0,61.01708324401267,61.01708324401267,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-25,6951.8955,0.5454473456334297,0,0,0,0,52.65876574209738,52.65876574209738,test,6951.8955,0.5454473456334297,0,0,0,0,52.65876574209738,52.65876574209738,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-26,6964.0653,0.4648682563678013,0,0,0,0,-152.57776578025184,-152.57776578025184,test,6964.0653,0.4648682563678013,0,0,0,0,-152.57776578025184,-152.57776578025184,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-27,6862.5624,0.75911916693977,0,1,0,0,250.45014197559112,250.45014197559112,test,6862.5624,0.75911916693977,0,1,0,0,250.45014197559112,250.45014197559112,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-28,7011.1602,0.4807233844839604,0,0,0,0,81.73166391904907,81.73166391904907,test,7011.1602,0.4807233844839604,0,0,0,0,81.73166391904907,81.73166391904907,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-08-29,7043.9416,0.6273466508033262,0,0,0,0,29.926208993997783,29.926208993997783,test,7043.9416,0.6273466508033262,0,0,0,0,29.926208993997783,29.926208993997783,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-01,7110.2882,0.4735089560599129,0,0,0,0,-170.10133965596032,-170.10133965596032,test,7110.2882,0.4735089560599129,0,0,0,0,-170.10133965596032,-170.10133965596032,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-02,6961.6894,0.8867530652015854,1,0,0,0,-148.34358313631225,-148.34358313631225,test,6961.6894,0.8867530652015854,1,0,0,0,-148.34358313631225,-148.34358313631225,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-03,6868.4615,0.8790473955759983,1,0,0,0,-254.50841986319085,-254.50841986319085,test,6868.4615,0.8790473955759983,1,0,0,0,-254.50841986319085,-254.50841986319085,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-04,6698.4474,0.8500150327734936,1,1,1,1,325.3202904393926,325.3202904393926,test,6698.4474,0.8500150327734936,1,1,1,1,325.3202904393926,325.3202904393926,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-05,6913.9532,0.4996978701859537,0,0,0,0,46.95869541144759,46.95869541144759,test,6913.9532,0.4996978701859537,0,0,0,0,46.95869541144759,46.95869541144759,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-08,6992.1169,0.4910758988949261,0,0,0,0,-70.15206875498725,-70.15206875498725,test,6992.1169,0.4910758988949261,0,0,0,0,-70.15206875498725,-70.15206875498725,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-09,6928.9651,0.6870680649639321,0,0,0,0,19.0876666314721,19.0876666314721,test,6928.9651,0.6870680649639321,0,0,0,0,19.0876666314721,19.0876666314721,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-10,6932.1092,0.5637994041094847,0,1,0,0,276.28280192682377,276.28280192682377,test,6932.1092,0.5637994041094847,0,1,0,0,276.28280192682377,276.28280192682377,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
2025-09-11,7122.7051,0.4509629377215812,0,0,0,0,77.01672584594421,77.01672584594421,test,7122.7051,0.4509629377215812,0,0,0,0,77.01672584594421,77.01672584594421,test,both,True,True,True,True,True,True,True,True,True,True,MATCH
