date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2020-07-08,6535.4151,0.3289764087757739,0,0,0,0,188.0989629347152,-188.0989629347152,development,6535.4151,0.3289764087757739,0,0,0,0,188.0989629347152,-188.0989629347152,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-09,6693.7452,0.3488197896310623,0,0,0,0,69.48774401997593,-69.48774401997593,development,6693.7452,0.3488197896310623,0,0,0,0,69.48774401997593,-69.48774401997593,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-10,6676.4373,0.3722648368777403,0,0,0,0,277.7206545216471,-277.7206545216471,development,6676.4373,0.3722648368777403,0,0,0,0,277.7206545216471,-277.7206545216471,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-13,6899.5175,0.3567892388802729,0,0,0,0,-118.00371158291578,118.00371158291578,development,6899.5175,0.3567892388802729,0,0,0,0,-118.00371158291578,118.00371158291578,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-14,6807.727,0.3765605379373465,0,1,0,0,-254.2505254330496,254.2505254330496,development,6807.727,0.3765605379373465,0,1,0,0,-254.2505254330496,254.2505254330496,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-15,6638.8384,0.4197060750101138,0,1,0,0,-474.686378066681,474.686378066681,development,6638.8384,0.4197060750101138,0,1,0,0,-474.686378066681,474.686378066681,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-16,6319.9981,0.5293772885898171,0,0,0,0,145.49251532295582,-145.49251532295582,development,6319.9981,0.5293772885898171,0,0,0,0,145.49251532295582,-145.49251532295582,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-17,6344.5912,0.5548610015380011,0,0,0,0,198.60369398730035,-198.60369398730035,development,6344.5912,0.5548610015380011,0,0,0,0,198.60369398730035,-198.60369398730035,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-20,6526.8325,0.5398106561702979,0,0,0,0,11.613418107965234,-11.613418107965234,development,6526.8325,0.5398106561702979,0,0,0,0,11.613418107965234,-11.613418107965234,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-21,6563.3239,0.5466719936486438,0,0,0,0,12.023493874073754,-12.023493874073754,development,6563.3239,0.5466719936486438,0,0,0,0,12.023493874073754,-12.023493874073754,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
